transect,class,x,y,lon,lat,log,nasc
1,BT,680.0,6340.0,-162.09437201666665,57.15049973333333,280.7521321666667,3.0753291666666662
1,BT,680.0,6330.0,-162.09935375454546,57.079725745454546,285.00169990909086,20.523282090909092
1,BT,680.0,6320.0,-162.10520806363635,56.98815604545453,290.50146754545455,6.377997272727272
1,BT,680.0,6310.0,-162.11092709,56.900757139999996,295.751913,22.371681
1,BT,680.0,6300.0,-162.11642023636364,56.81326388181817,301.00134390909096,87.09276781818183
1,BT,680.0,6290.0,-162.12228537272728,56.72167344545455,306.5012059090909,44.8204239090909
1,BT,680.0,6280.0,-162.12807575454545,56.63010786363637,312.00134645454546,58.53749400000001
1,BT,680.0,6270.0,-162.13357571818185,56.543735309090906,325.501827,129.82099236363635
1,BT,680.0,6260.0,-162.13911039999996,56.454125345454536,334.00149636363636,145.17663263636362
1,BT,680.0,6250.0,-162.14472352727273,56.362566290909086,339.50161163636363,19.379001363636362
1,BT,680.0,6240.0,-162.15088919166666,56.26849543333333,347.1683768333333,1173.7047606666667
1,BT,680.0,6230.0,-162.15615562727274,56.181212099999996,362.50132918181816,567.0733482727272
1,BT,680.0,6220.0,-162.16174663636363,56.08963086363636,368.0016087272727,388.2703727272727
1,BT,680.0,6210.0,-162.16723914,56.00225332,373.25157659999996,132.8431611
1,BT,680.0,6200.0,-162.1720343857143,55.93143379999999,377.5019548571428,91.10971814285715
2,BT,640.0,6160.0,-162.78691383636362,55.56298059090909,650.0014060909091,95.57542545454545
2,BT,640.0,6170.0,-162.7824098818182,55.654481818181814,655.5011836363636,132.21370945454544
2,BT,640.0,6180.0,-162.77801066363637,55.74607661818183,661.0018833636365,110.53509918181818
2,BT,640.0,6190.0,-162.77364763846157,55.83252148461539,675.4632925384615,38.453455
2,BT,640.0,6200.0,-162.76829793,55.925626869999995,682.7519095000001,279.47746269999993
2,BT,640.0,6210.0,-162.7637077090909,56.01304054545455,688.0019348181818,211.43945990909089
2,BT,640.0,6220.0,-162.75903394545455,56.104629527272735,693.501381090909,162.28283772727275
2,BT,640.0,6230.0,-162.75431300909088,56.196250318181804,699.0015243636363,86.06910590909091
2,BT,640.0,6240.0,-162.74982942,56.283667349999995,704.2517719,100.2394949
2,BT,640.0,6250.0,-162.74517377272727,56.3710897,709.5015430909091,458.2137335454545
2,BT,640.0,6260.0,-162.74031255454545,56.46265615454546,715.0019162727273,18.83153727272727
2,BT,640.0,6270.0,-162.73582776363637,56.55424839090909,720.5013587272729,23.25983518181818
2,BT,640.0,6280.0,-162.73089804545455,56.645884181818175,726.0018572727272,44.86464909090909
2,BT,640.0,6290.0,-162.72615828,56.733349149999995,731.2514896,14.1039802
2,BT,640.0,6300.0,-162.72165668181813,56.82081927272727,736.5016451818182,14.741214000000001
2,BT,640.0,6310.0,-162.7167557818182,56.91241778181818,742.0010538181818,56.91111572727272
2,BT,640.0,6320.0,-162.7119770818182,57.003999199999996,747.5013873636364,60.02565918181817
2,BT,640.0,6330.0,-162.70724342,57.091443330000004,752.7518375,110.2595922
2,BT,640.0,6340.0,-162.704225775,57.149782925,756.25230225,184.34900625
3,BT,600.0,6340.0,-163.31842495,57.16109815,778.2514872500001,54.2776765
3,BT,600.0,6330.0,-163.32110259090908,57.09894527272726,782.0016623636365,113.6068940909091
3,BT,600.0,6320.0,-163.32331831000002,57.01153113,787.2519575,209.62979029999997
3,BT,600.0,6310.0,-163.32562498333337,56.92073508333332,793.5016941666668,141.96363283333338
3,BT,600.0,6300.0,-163.3272763363636,56.83330202727272,807.5013708181817,66.92570390909091
3,BT,600.0,6290.0,-163.33004984166664,56.74140975833333,817.9182359166666,146.01629074999997
3,BT,600.0,6280.0,-163.33212565833335,56.65267184166667,836.0850201666666,183.04713233333334
3,BT,600.0,6270.0,-163.33436855454542,56.56383118181818,847.5015444545456,32.55662418181818
3,BT,600.0,6260.0,-163.33689221818184,56.472318718181825,853.0015589090909,10.660657818181818
