Column1,survey,vessel,event_id,latitude,longitude
1,201001,89,2,57.32308,-158.4166
2,201001,89,3,57.65588,-158.36512
3,201001,89,4,57.98402,-158.32827
4,201001,89,5,57.98817,-158.93512
5,201001,89,6,58.3435,-159.55223
6,201001,89,7,58.01057,-159.60203
7,201001,89,8,57.67757,-159.63468
8,201001,89,9,57.36495,-159.6644
9,201001,89,10,57.01657,-159.6965
10,201001,89,11,56.68552,-159.75933
11,201001,89,12,56.6664,-160.35235
12,201001,89,13,56.67088,-160.96288
13,201001,89,14,56.98043,-160.9652
14,201001,89,15,57.32097,-160.93078
15,201001,89,16,57.6559,-160.88428
16,201001,89,17,57.98537,-160.86663
17,201001,89,18,58.32452,-160.7476
18,201001,89,19,58.33355,-161.40295
19,201001,89,20,58.32745,-162.02777
20,201001,89,21,57.34732,-162.15412
21,201001,89,22,57.01417,-162.1687
22,201001,89,23,56.67515,-162.18938
23,201001,89,24,56.34735,-162.18957
24,201001,89,25,56.01248,-162.23047
25,201001,89,26,55.32478,-163.43092
26,201001,89,27,55.65693,-163.41073
27,201001,89,28,55.98522,-163.3915
28,201001,89,29,56.32057,-163.41475
29,201001,89,30,56.65897,-163.37835
30,201001,89,31,56.98705,-163.38835
31,201001,89,32,57.32067,-163.38392
32,201001,89,33,57.65483,-163.36538
33,201001,89,34,57.98952,-163.37885
34,201001,89,35,58.32043,-163.36793
35,201001,89,36,58.65422,-163.35712
36,201001,89,37,58.97653,-163.35198
37,201001,89,38,59.30553,-163.98467
38,201001,89,39,59.34092,-164.65488
39,201001,89,40,59.01755,-164.6518
40,201001,89,41,58.68012,-164.6521
41,201001,89,42,58.65238,-164.02345
42,201001,89,43,58.98447,-164.00567
43,201001,89,44,58.35073,-164.63923
44,201001,89,45,58.01653,-164.61663
45,201001,89,46,57.6842,-164.62168
46,201001,89,47,57.33808,-164.61882
47,201001,89,48,57.01418,-164.59957
48,201001,89,49,56.67777,-164.6067
49,201001,89,50,56.34938,-164.58317
50,201001,89,51,56.01172,-164.58473
51,201001,89,52,55.67692,-164.59102
52,201001,89,53,55.34575,-164.57842
53,201001,89,54,55.03365,-164.58513
54,201001,89,55,54.99682,-165.12122
55,201001,89,56,54.83442,-165.49247
56,201001,89,57,54.70643,-165.13567
57,201001,89,58,54.97447,-165.757
58,201001,89,59,55.32893,-166.33632
59,201001,89,60,55.64988,-166.38378
60,201001,89,61,55.65345,-165.80338
61,201001,89,62,55.99242,-165.78763
62,201001,89,63,56.32438,-165.80385
63,201001,89,64,56.65633,-165.8431
64,201001,89,65,56.98497,-165.84658
65,201001,89,66,57.32115,-165.86723
66,201001,89,67,57.65233,-165.89042
67,201001,89,68,57.98882,-165.90412
68,201001,89,69,58.3217,-165.90465
69,201001,89,70,58.65128,-165.92888
70,201001,89,71,58.98782,-165.9313
71,201001,89,72,59.31787,-165.95678
72,201001,89,74,59.63938,-165.94345
73,201001,89,75,59.66692,-166.60898
74,201001,89,76,59.3373,-166.5651
75,201001,89,77,59.32747,-167.24303
76,201001,89,78,59.01855,-167.2477
77,201001,89,79,59.00103,-167.86188
78,201001,89,80,58.66247,-167.88273
79,201001,89,81,58.66682,-167.25633
80,201001,89,82,58.34617,-167.19285
81,201001,89,83,58.01423,-167.16785
82,201001,89,84,57.68273,-167.1419
83,201001,89,85,57.32272,-167.11877
84,201001,89,86,57.01773,-167.09038
85,201001,89,87,57.00928,-167.70317
86,201001,89,88,56.6852,-167.66703
87,201001,89,89,56.66863,-167.10032
88,201001,89,90,56.34507,-167.02672
89,201001,89,91,56.01722,-167.00655
90,201001,89,92,55.6859,-166.99317
91,201001,89,93,55.0019,-166.32417
92,201001,89,94,55.00095,-166.92657
93,201001,89,95,55.32208,-166.95893
94,201001,89,96,56.66413,-168.9198
95,201001,89,97,56.82317,-168.621
96,201001,89,98,56.99665,-168.95327
97,201001,89,99,57.15438,-168.63488
98,201001,89,100,57.32462,-168.96468
99,201001,89,101,57.48798,-168.75178
100,201001,89,102,57.81798,-168.73752
101,201001,89,103,57.67215,-169.0325
102,201001,89,104,57.50008,-169.34367
103,201001,89,105,57.65792,-169.63665
104,201001,89,106,57.34817,-169.59555
105,201001,89,107,57.18548,-169.3175
106,201001,89,108,57.17468,-169.86835
107,201001,89,109,57.0175,-170.13445
108,201001,89,114,56.84522,-169.91827
109,201001,89,115,56.98777,-169.57732
110,201001,89,116,56.8451,-169.29415
111,201001,89,117,56.67795,-169.48525
112,201001,89,118,56.6454,-168.29017
113,201001,89,119,56.99288,-168.3423
114,201001,89,120,57.32015,-168.36822
115,201001,89,121,57.6541,-168.39975
116,201001,89,122,57.32662,-170.2395
117,201001,89,123,57.35447,-170.82363
118,201001,89,124,58.99952,-169.81352
119,201001,89,125,58.9996,-170.46327
120,201001,89,126,58.99992,-171.10603
121,201001,89,127,58.99968,-171.75587
122,201001,89,128,59.00032,-172.40567
123,201001,89,129,58.666,-175.5106
124,201001,89,130,58.66598,-176.18288
125,201001,89,131,58.66548,-176.8137
126,201001,89,132,58.99207,-176.95065
127,201001,89,133,59.00123,-177.57362
128,201001,89,134,59.00148,-176.35183
129,201001,89,135,58.99963,-175.7548
130,201001,89,136,59.31255,-175.74988
131,201001,89,137,59.33335,-176.3622
132,201001,89,138,59.33413,-177.02013
133,201001,89,139,59.66157,-177.12708
134,201001,89,140,59.6673,-176.55397
135,201001,89,141,59.6675,-175.89312
136,201001,89,142,59.66738,-175.12612
137,201001,89,143,59.34792,-175.09745
138,201001,89,144,58.67822,-172.9991
139,201001,89,145,58.34633,-172.92768
140,201001,89,146,58.01147,-172.8669
141,201001,89,147,57.99917,-172.29402
142,201002,89,1,60.655,-168.6925
143,201002,89,2,60.98295,-168.73173
144,201002,89,3,61.31817,-168.76693
145,201002,89,4,61.65305,-168.80163
146,201002,89,5,61.98697,-168.84008
147,201002,89,6,62.31892,-168.87245
148,201002,89,7,62.65552,-168.9043
149,201002,89,8,62.93715,-168.986
150,201002,89,9,62.676,-169.57675
151,201002,89,10,62.34737,-169.5963
152,201002,89,11,62.01638,-169.54808
