transect,class,x,y,lon,lat,nasc
1,BT,730.0,6340.0,-161.18411375000002,57.136225537499996,26.382429874999996
1,BT,730.0,6330.0,-161.18633838181816,57.0565175090909,33.64386290909091
1,BT,730.0,6320.0,-161.19186085454547,56.96416066363636,4.858367454545455
1,BT,730.0,6310.0,-161.19808961,56.876148799999996,10.7183071
1,BT,730.0,6300.0,-161.20429286363637,56.78810290909091,2.3387773636363636
1,BT,730.0,6290.0,-161.21066964545454,56.69582830000001,1.5679275454545454
1,BT,730.0,6280.0,-161.21700541,56.60776943,7.2645899
1,BT,730.0,6270.0,-161.22363541666667,56.51753672500001,21.223286583333334
1,BT,730.0,6260.0,-161.2295224,56.42623666000001,11.1416458
1,BT,730.0,6250.0,-161.23575961818185,56.338070563636364,10.03828772727273
1,BT,730.0,6240.0,-161.2412791454545,56.24572226363636,1.0472920000000001
1,BT,730.0,6230.0,-161.245155575,56.1827664,19.943473250000004
2,BT,700.0,6210.0,-161.85244201999998,56.02163470000001,7.437213
2,BT,700.0,6220.0,-161.84796705,56.084579039999994,22.2690513
2,BT,700.0,6230.0,-161.84303339090908,56.17279092727272,3.905772363636363
2,BT,700.0,6240.0,-161.83808368181818,56.265146699999995,5.889898909090909
2,BT,700.0,6250.0,-161.83339121,56.35336738999998,5.700588999999999
2,BT,700.0,6260.0,-161.82863196363635,56.44157690909091,11.651241545454546
2,BT,700.0,6270.0,-161.82364204545453,56.533977190909084,1.5149703636363634
2,BT,700.0,6280.0,-161.81891816,56.62224055,9.6701055
2,BT,700.0,6290.0,-161.81541284,56.68525602,3.6772078
2,BT,690.0,6290.0,-161.81296343333335,56.7314295,0.8019218333333334
2,BT,690.0,6300.0,-161.80904053636365,56.80276420909092,3.2126141818181817
2,BT,690.0,6310.0,-161.80340138181816,56.895087999999994,5.142499
2,BT,690.0,6320.0,-161.7979959,56.9831146,2.4435162
2,BT,690.0,6330.0,-161.7941583090909,57.071343909090906,0.0008718181818181818
2,BT,690.0,6340.0,-161.7888602181818,57.16366535454545,3.4086075454545464
3,BT,660.0,6340.0,-162.40219389,57.17285081,2.6823081
3,BT,660.0,6330.0,-162.40521935454544,57.084644045454546,15.125763636363638
3,BT,660.0,6320.0,-162.40930407000002,56.996486530000006,2.5332739
