"","survey","transect","interval","class","nasc","start_longitude","start_latitude","start_vessel_log","mean_bottom_depth","start_longitute"
"1",201006,1,1817,"FISH",0.413232,-161.1847974,57.1654714,908.002272,75.69,-161.1847974
"2",201006,1,1817,"MIX1",0.048926,-161.1847974,57.1654714,908.002272,75.69,-161.1847974
"3",201006,1,1817,"MIX3",0.345226,-161.1847974,57.1654714,908.002272,75.69,-161.1847974
"4",201006,1,1818,"FISH",0.198078,-161.1843086,57.1572143,908.501765,75.64,-161.1843086
"5",201006,1,1818,"MIX1",0,-161.1843086,57.1572143,908.501765,75.64,-161.1843086
"6",201006,1,1818,"MIX3",3.067106,-161.1843086,57.1572143,908.501765,75.64,-161.1843086
"7",201006,1,1819,"MIX1",0,-161.1835929,57.1488233,909.002002,76.9,-161.1835929
"8",201006,1,1819,"MIX3",2.933846,-161.1835929,57.1488233,909.002002,76.9,-161.1835929
"9",201006,1,1820,"MIX1",0.079029,-161.1837587,57.140454,909.501152,77.36,-161.1837587
"10",201006,1,1820,"MIX3",4.106121,-161.1837587,57.140454,909.501152,77.36,-161.1837587
"11",201006,1,1821,"MIX1",0,-161.18388,57.1320846,910,77.53,-161.18388
"12",201006,1,1821,"MIX3",7.5489,-161.18388,57.1320846,910,77.53,-161.18388
"13",201006,1,1822,"MIX1",5.379295,-161.184005,57.1236321,910.503293,77.23,-161.184005
"14",201006,1,1822,"MIX3",8.605346,-161.184005,57.1236321,910.503293,77.23,-161.184005
"15",201006,1,1823,"FISH",0.65534,-161.1841517,57.1152544,911.002832,76.95,-161.1841517
"16",201006,1,1823,"MIX1",0,-161.1841517,57.1152544,911.002832,76.95,-161.1841517
"17",201006,1,1823,"MIX3",6.315115,-161.1841517,57.1152544,911.002832,76.95,-161.1841517
"18",201006,1,1824,"MIX1",0,-161.1844157,57.1068702,911.502338,76.19,-161.1844157
"19",201006,1,1824,"MIX3",8.283732,-161.1844157,57.1068702,911.502338,76.19,-161.1844157
"20",201006,1,1825,"MIX1",0,-161.184713,57.0984542,912.003845,77.18,-161.184713
"21",201006,1,1825,"MIX3",0.121128,-161.184713,57.0984542,912.003845,77.18,-161.184713
"22",201006,1,1826,"MIX1",0.040479,-161.185015,57.090079,912.502338,77.07,-161.185015
"23",201006,1,1826,"MIX3",0.327047,-161.185015,57.090079,912.502338,77.07,-161.185015
"24",201006,1,1827,"FISH",15.034394,-161.1853498,57.0816738,913.003161,77,-161.1853498
"25",201006,1,1827,"MIX1",0,-161.1853498,57.0816738,913.003161,77,-161.1853498
"26",201006,1,1827,"MIX3",13.994313,-161.1853498,57.0816738,913.003161,77,-161.1853498
"27",201006,1,1828,"FISH",0,-161.1856522,57.0733329,913.5,75.84,-161.1856522
"28",201006,1,1828,"MIX1",0,-161.1856522,57.0733329,913.5,75.84,-161.1856522
"29",201006,1,1828,"MIX3",6.649897,-161.1856522,57.0733329,913.5,75.84,-161.1856522
"30",201006,1,1829,"FISH",0,-161.185946,57.0649325,914.000567,75.26,-161.185946
"31",201006,1,1829,"MIX1",0,-161.185946,57.0649325,914.000567,75.26,-161.185946
"32",201006,1,1829,"MIX3",5.710161,-161.185946,57.0649325,914.000567,75.26,-161.185946
"33",201006,1,1830,"FISH",0.009097,-161.1862173,57.056526,914.501001,74.89,-161.1862173
"34",201006,1,1830,"MIX1",0,-161.1862173,57.056526,914.501001,74.89,-161.1862173
"35",201006,1,1830,"MIX3",7.390314,-161.1862173,57.056526,914.501001,74.89,-161.1862173
"36",201006,1,1831,"MIX1",0,-161.1864883,57.0481292,915.001449,75.69,-161.1864883
"37",201006,1,1831,"MIX3",2.299716,-161.1864883,57.0481292,915.001449,75.69,-161.1864883
"38",201006,1,1832,"MIX1",0,-161.18681,57.0397602,915.500263,72.82,-161.18681
"39",201006,1,1832,"MIX3",3.532589,-161.18681,57.0397602,915.500263,72.82,-161.18681
"40",201006,1,1833,"MIX1",0,-161.1872199,57.031333,916.001868,73.27,-161.1872199
"41",201006,1,1833,"MIX3",2.296414,-161.1872199,57.031333,916.001868,73.27,-161.1872199
"42",201006,1,1834,"MIX1",0.039391,-161.1878114,57.0229655,916.5001,75.98,-161.1878114
"43",201006,1,1834,"MIX3",3.235686,-161.1878114,57.0229655,916.5001,75.98,-161.1878114
"44",201006,1,1835,"MIX1",0,-161.1884993,57.0145063,917.003971,75.68,-161.1884993
"45",201006,1,1835,"MIX3",18.549587,-161.1884993,57.0145063,917.003971,75.68,-161.1884993
