column1,survey,event_id,eqlatitude,eqlongitude,lla,utm,x,y,edsu_idx
1,202104,23,55.9989016667,-154.819453333,"LLA(lat=55.9989016667°, lon=-154.819453333°, alt=0.0)","UTM(1.1336917007940284e6, 6.252831179928506e6, 0.0)",1133.6917007940283,6252.831179928506,907
2,202104,28,56.8752216667,-151.474728333,"LLA(lat=56.8752216667°, lon=-151.474728333°, alt=0.0)","UTM(1.3212394335624378e6, 6.385281962160226e6, 0.0)",1321.2394335624379,6385.281962160226,3653
3,202104,7,54.3724283333,-160.797018333,"LLA(lat=54.3724283333°, lon=-160.797018333°, alt=0.0)","UTM(772959.8611907803, 6.033103294191683e6, 0.0)",772.9598611907803,6033.103294191683,301
4,202104,8,54.488315,-159.649273333,"LLA(lat=54.488315°, lon=-159.649273333°, alt=0.0)","UTM(846455.9753429617, 6.05103847797364e6, 0.0)",846.4559753429618,6051.03847797364,247
5,202104,2,53.7826083333,-165.246338333,"LLA(lat=53.7826083333°, lon=-165.246338333°, alt=0.0)","UTM(483768.6374891352, 5.959363151901586e6, 0.0)",483.7686374891352,5959.363151901586,116
6,202104,4,54.015365,-162.997831667,"LLA(lat=54.015365°, lon=-162.997831667°, alt=0.0)","UTM(631184.6382129824, 5.987086199534931e6, 0.0)",631.1846382129825,5987.086199534931,143
7,202104,9,55.05606,-160.359243333,"LLA(lat=55.05606°, lon=-160.359243333°, alt=0.0)","UTM(796336.8026850608, 6.110876164061603e6, 0.0)",796.3368026850608,6110.876164061603,2352
8,202104,32,56.5567633333,-152.414001667,"LLA(lat=56.5567633333°, lon=-152.414001667°, alt=0.0)","UTM(1.27115721608599e6, 6.339184786590796e6, 0.0)",1271.15721608599,6339.184786590796,3493
9,202104,33,56.7009616667,-152.69245,"LLA(lat=56.7009616667°, lon=-152.69245°, alt=0.0)","UTM(1.251307197717489e6, 6.351962813103652e6, 0.0)",1251.307197717489,6351.962813103652,3516
10,202104,6,54.1897633333,-161.92475,"LLA(lat=54.1897633333°, lon=-161.92475°, alt=0.0)","UTM(700632.9849259517, 6.009003386293857e6, 0.0)",700.6329849259517,6009.003386293857,219
11,202104,55,58.6969533333,-150.657515,"LLA(lat=58.6969533333°, lon=-150.657515°, alt=0.0)","UTM(1.32717517200578e6, 6.595486037203505e6, 0.0)",1327.17517200578,6595.486037203505,1464
12,202104,62,59.7441083333,-147.090786667,"LLA(lat=59.7441083333°, lon=-147.090786667°, alt=0.0)","UTM(1.4983735156767343e6, 6.759367648421045e6, 0.0)",1498.3735156767343,6759.3676484210455,2011
13,202104,51,57.5571283333,-150.27104,"LLA(lat=57.5571283333°, lon=-150.27104°, alt=0.0)","UTM(1.3771358183068407e6, 6.4753854723085435e6, 0.0)",1377.1358183068407,6475.385472308543,2902
14,202104,13,55.465875,-159.691436667,"LLA(lat=55.465875°, lon=-159.691436667°, alt=0.0)","UTM(835463.2500334026, 6.159452840141593e6, 0.0)",835.4632500334026,6159.452840141593,2580
