ship,survey,event_id,species_code,specimen_id,fork_length,organism_weight,age,sex,eq_longitude
157,202104,1,21740,50,39.8,0.41,3,Female,-165.2337
157,202104,1,21740,68,40.4,0.502,3,Male,-165.2337
157,202104,1,21740,69,48.3,0.65,11,Male,-165.2337
157,202104,1,21740,56,42.5,0.56,3,Male,-165.2337
157,202104,1,21740,75,38.7,0.476,3,Female,-165.2337
157,202104,1,21740,53,45.1,0.72,9,Male,-165.2337
157,202104,1,21740,71,40.0,0.486,3,Female,-165.2337
157,202104,1,21740,72,40.3,0.55,4,Male,-165.2337
157,202104,1,21740,59,39.9,0.502,4,Female,-165.2337
157,202104,1,21740,62,49.1,0.726,5,Female,-165.2337
157,202104,1,21740,64,52.4,0.98,9,Female,-165.2337
157,202104,1,21740,73,41.5,0.486,3,Female,-165.2337
157,202104,1,21740,67,40.7,0.478,4,Female,-165.2337
157,202104,1,21740,54,45.6,0.814,10,Male,-165.2337
157,202104,1,21740,57,39.8,0.48,4,Male,-165.2337
157,202104,1,21740,70,38.7,0.466,4,Female,-165.2337
157,202104,1,21740,74,43.1,0.652,5,Female,-165.2337
157,202104,1,21740,55,48.0,0.756,9,Male,-165.2337
157,202104,1,21740,60,41.6,0.54,4,Female,-165.2337
157,202104,1,21740,63,41.4,0.562,4,Female,-165.2337
157,202104,1,21740,65,41.5,0.54,4,Female,-165.2337
157,202104,1,21740,66,39.9,0.496,4,Female,-165.2337
157,202104,1,21740,52,38.2,0.466,4,Male,-165.2337
157,202104,1,21740,58,43.9,0.606,4,Female,-165.2337
157,202104,1,21740,61,47.9,0.804,9,Male,-165.2337
157,202104,3,21740,469,50.2,0.942,10,Male,-164.0242
157,202104,3,21740,489,47.2,0.694,9,Male,-164.0242
157,202104,3,21740,476,45.0,0.666,9,Female,-164.0242
157,202104,3,21740,480,49.9,0.918,9,Male,-164.0242
157,202104,3,21740,472,47.6,0.762,5,Female,-164.0242
157,202104,3,21740,478,53.5,1.088,8,Female,-164.0242
157,202104,3,21740,482,47.3,0.834,8,Male,-164.0242
157,202104,3,21740,483,49.1,0.744,8,Male,-164.0242
157,202104,3,21740,485,42.4,0.59,4,Female,-164.0242
157,202104,3,21740,487,49.6,0.774,9,Male,-164.0242
157,202104,3,21740,488,42.2,0.56,3,Female,-164.0242
157,202104,3,21740,467,49.7,0.9,8,Male,-164.0242
157,202104,3,21740,475,43.3,0.608,4,Male,-164.0242
157,202104,3,21740,490,44.6,0.632,4,Female,-164.0242
157,202104,3,21740,468,55.0,1.124,9,Female,-164.0242
157,202104,3,21740,474,54.9,1.262,10,Female,-164.0242
157,202104,3,21740,481,51.6,0.95,9,Female,-164.0242
157,202104,3,21740,486,47.1,0.712,9,Male,-164.0242
157,202104,3,21740,470,41.9,0.592,3,Female,-164.0242
157,202104,3,21740,473,55.7,1.164,8,Female,-164.0242
157,202104,3,21740,477,38.9,0.442,3,Male,-164.0242
157,202104,3,21740,479,50.0,0.812,11,Female,-164.0242
157,202104,3,21740,491,49.6,0.896,10,Female,-164.0242
157,202104,3,21740,471,53.0,0.858,10,Female,-164.0242
157,202104,3,21740,484,51.4,0.872,9,Male,-164.0242
157,202104,4,21740,602,39.1,0.424,3,Male,-162.9978
157,202104,4,21740,607,39.4,0.426,4,Female,-162.9978
157,202104,4,21740,622,46.7,0.738,9,Male,-162.9978
157,202104,4,21740,605,51.8,1.026,9,Female,-162.9978
157,202104,4,21740,611,46.0,0.6,4,Female,-162.9978
157,202104,4,21740,616,37.7,0.408,3,Male,-162.9978
157,202104,4,21740,617,43.7,0.558,4,Female,-162.9978
157,202104,4,21740,587,16.6,0.036,1,,-162.9978
157,202104,4,21740,593,45.4,0.646,4,Male,-162.9978
157,202104,4,21740,596,36.2,0.306,3,Female,-162.9978
157,202104,4,21740,598,47.1,0.834,4,Female,-162.9978
157,202104,4,21740,604,42.4,0.516,3,Male,-162.9978
157,202104,4,21740,625,45.8,0.764,4,Female,-162.9978
157,202104,4,21740,588,16.8,0.036,1,,-162.9978
157,202104,4,21740,590,15.3,0.026,1,,-162.9978
157,202104,4,21740,592,39.2,0.428,3,Female,-162.9978
157,202104,4,21740,609,46.7,0.734,6,Male,-162.9978
157,202104,4,21740,615,40.0,0.582,4,Male,-162.9978
157,202104,4,21740,620,40.0,0.48,4,Male,-162.9978
157,202104,4,21740,589,15.4,0.028,1,,-162.9978
157,202104,4,21740,591,14.5,0.022,1,,-162.9978
157,202104,4,21740,597,50.9,0.904,8,Male,-162.9978
157,202104,4,21740,606,43.6,0.578,4,Male,-162.9978
157,202104,4,21740,608,40.5,0.446,4,Female,-162.9978
157,202104,4,21740,614,45.3,0.636,4,Male,-162.9978
157,202104,4,21740,619,50.8,0.852,11,Female,-162.9978
157,202104,4,21740,621,44.0,0.638,4,Male,-162.9978
157,202104,4,21740,623,41.6,0.5,3,Female,-162.9978
157,202104,4,21740,610,46.0,0.678,4,Male,-162.9978
157,202104,4,21740,612,46.9,0.684,5,Male,-162.9978
157,202104,4,21740,594,44.1,0.56,4,Female,-162.9978
157,202104,4,21740,595,38.0,0.478,4,Female,-162.9978
157,202104,4,21740,599,42.8,0.608,4,Female,-162.9978
157,202104,4,21740,600,39.3,0.474,3,Female,-162.9978
157,202104,4,21740,601,44.7,0.624,5,Male,-162.9978
157,202104,4,21740,603,49.0,0.814,10,Female,-162.9978
157,202104,4,21740,613,39.1,0.444,3,Female,-162.9978
157,202104,4,21740,624,36.9,0.382,4,Male,-162.9978
157,202104,4,21740,626,38.6,0.452,3,Female,-162.9978
157,202104,4,21740,627,44.5,0.638,4,Female,-162.9978
157,202104,4,21740,618,39.1,0.418,4,Female,-162.9978
157,202104,5,21740,1058,41.6,0.514,4,Female,-161.8261
157,202104,5,21740,1068,46.7,0.75,9,Male,-161.8261
157,202104,5,21740,1069,47.5,0.7,4,Female,-161.8261
157,202104,5,21740,1070,41.2,0.55,4,Male,-161.8261
157,202104,5,21740,1051,43.4,0.596,4,Male,-161.8261
157,202104,5,21740,1059,47.9,0.806,4,Female,-161.8261
157,202104,5,21740,1074,39.7,0.5,3,Female,-161.8261
157,202104,5,21740,1073,38.5,0.416,3,Male,-161.8261
157,202104,5,21740,1075,38.7,0.426,3,Male,-161.8261
157,202104,5,21740,1076,40.0,0.452,3,Male,-161.8261
157,202104,5,21740,1077,46.1,0.768,9,Male,-161.8261
157,202104,5,21740,1065,49.3,0.808,4,Female,-161.8261
157,202104,5,21740,1066,49.1,0.866,9,Male,-161.8261
