age,i,n_age,biomass_age
05,1,1.4969016248055604e9,8.052936549546583e8
07,1,3.7098424855632704e8,2.4018174981499723e8
03,1,7.08903982682436e8,2.176566131246799e8
10,1,1.1560765270191918e8,1.0062576396014564e8
09,1,1.3198310786544736e8,9.701267545562328e7
02,1,4.6793983335146105e8,5.106571701589602e7
01,1,1.270036088790086e9,2.2384528176168628e7
06,1,7.773349156546003e8,4.803817964377489e8
08,1,2.406858915469135e8,1.6424728575499964e8
04,1,8.015078579964398e8,3.6782217609632e8
05,2,1.4062048745673609e9,7.708707627955558e8
09,2,1.3869081382560697e8,1.0400530974613316e8
10,2,1.199872736743585e8,1.0574922840796393e8
07,2,4.554819543273052e8,3.0549605009668446e8
04,2,1.3817378683420656e9,6.393497377730051e8
06,2,8.129102556060977e8,5.174557262110561e8
08,2,2.5754661391442615e8,1.8032881947086895e8
01,2,1.6518627382964532e9,2.756547266581884e7
02,2,4.86919441187341e8,5.564136360201198e7
03,2,4.280014977425956e8,1.2150107234793551e8
01,3,1.887060252309354e9,3.086125595834523e7
08,3,3.1359573476244247e8,2.1728868934593698e8
07,3,4.656708094807715e8,3.0751063613609606e8
04,3,1.4146360827668915e9,6.658251483688648e8
03,3,6.681619362389765e8,2.0554856636251727e8
05,3,1.2390055032221153e9,6.755770168242536e8
09,3,1.697434969946791e8,1.2629458971601082e8
06,3,6.415139355225736e8,4.0293235034006673e8
02,3,4.509378284130975e8,4.981091641833352e7
10,3,1.4646345225139344e8,1.2912459785748921e8
02,4,4.172016068010151e8,4.604843716155166e7
05,4,1.4654388774857285e9,8.07261760039485e8
09,4,1.6546409925919527e8,1.2232964184991854e8
07,4,3.3787017939515585e8,2.2354033815311727e8
01,4,1.4711526638731697e9,2.426408142443179e7
08,4,2.0848465361712533e8,1.444547244361146e8
03,4,5.949871145870649e8,1.761116734224191e8
04,4,1.3251025234123304e9,6.183122290729321e8
06,4,6.934032105700494e8,4.3647580082382137e8
10,4,8.872848320501457e7,7.544431579743338e7
02,5,4.647775647148588e8,5.193005133080787e7
01,5,1.38501324175339e9,2.3246963171707883e7
08,5,1.9249610573809177e8,1.3353318086182769e8
07,5,3.543421614282921e8,2.3473991259748828e8
06,5,7.093754114135695e8,4.44866429388672e8
03,5,5.599770455011442e8,1.64339473387968e8
05,5,1.1289722114420469e9,6.196437090819591e8
04,5,1.4005266689047656e9,6.547330841875478e8
09,5,1.3988309854058033e8,1.0303411941142246e8
10,5,1.1038208115538129e8,9.728964158691218e7
01,6,1.341908961217481e9,2.183758274967583e7
05,6,1.426503767790982e9,7.689270487115912e8
04,6,1.2384128843201575e9,5.689157727647171e8
07,6,4.987354196015787e8,3.222106400055231e8
08,6,2.0502003828508323e8,1.3841935831872153e8
10,6,1.0526825570424688e8,9.038178740470874e7
02,6,4.0712994673425275e8,4.696135713086394e7
09,6,2.3488652655664647e8,1.704918313112266e8
06,6,4.5071974672532445e8,2.781305691401373e8
03,6,4.7430594470045674e8,1.4298875716126996e8
07,7,4.8922324695619947e8,3.201370041182051e8
05,7,1.244844190233237e9,6.838289879106791e8
02,7,4.6695946515852904e8,5.187612469517988e7
01,7,1.3071491810299256e9,2.1479384288463887e7
04,7,1.5238920052382624e9,7.121751191274616e8
10,7,1.3241713492151251e8,1.1364226069520509e8
06,7,6.150829471779662e8,3.8564399295385474e8
08,7,1.8277691495193017e8,1.2396556280013618e8
09,7,1.4584744811316323e8,1.0605051242708923e8
03,7,6.043233750043601e8,1.8498653565054724e8
01,8,1.2949225562936704e9,2.0673375374864478e7
05,8,1.151802264503094e9,6.255374090606154e8
08,8,1.8857508425489703e8,1.2915635722206256e8
04,8,1.2440818162955406e9,5.837951335235862e8
07,8,4.211495809856224e8,2.738899544055181e8
09,8,1.779079755287462e8,1.2870400794572836e8
06,8,6.788559238020862e8,4.195681200254301e8
03,8,5.781848937153268e8,1.7421127960798052e8
02,8,4.1102421550522876e8,4.594566428935043e7
10,8,1.0145758305775052e8,8.794569674159682e7
01,9,1.4300476524922607e9,2.391583344430192e7
02,9,4.767349842524451e8,5.230086226461004e7
10,9,1.4570198632716048e8,1.2758584134119026e8
07,9,5.379204271152967e8,3.55368010294287e8
06,9,6.508914300385039e8,4.07018721933196e8
05,9,1.3093563202803469e9,7.167014512684661e8
09,9,1.6992226693687087e8,1.2402012291788863e8
03,9,7.212168393333153e8,2.2340648128480098e8
04,9,1.370589502923132e9,6.519413976454011e8
08,9,2.2321100772685865e8,1.5360821425114906e8
10,10,9.434492772397508e7,8.241845190858747e7
01,10,1.3882467579103851e9,2.45688777237145e7
09,10,1.662921403724459e8,1.2475358735869034e8
03,10,6.340650145907236e8,1.9509573919039336e8
07,10,5.779519100501401e8,3.817801252800591e8
