i,species_code,age,n,biomass
1,21740,1,1.5635555579673994e8,2.9767011392257335e6
1,21740,2,2.860403547429768e9,2.6435799884382224e8
1,21740,3,2.7096837855173473e9,5.711737129134115e8
1,21740,4,3.8130345308864307e9,1.446510899021641e9
1,21740,5,3.1749920489088494e8,1.7275342612126762e8
1,21740,6,4.5907553172153574e8,3.3685289943934435e8
1,21740,7,1.4195991486632687e8,1.0571673022974664e8
1,21740,8,3.331663647663585e7,1.4311087658998499e7
1,21740,9,2.9584611887019183e7,2.0643207320253916e7
1,21740,10,8.424414822694847e7,1.172368470357846e8
2,21740,1,2.6308191857866263e8,4.878151768107811e6
2,21740,2,2.645782833275106e9,2.4473872856473342e8
2,21740,3,2.6819629358672104e9,5.671802547078489e8
2,21740,4,3.622733659578984e9,1.3619362175797668e9
2,21740,5,3.0693482906397593e8,1.5943369932011175e8
2,21740,6,5.133652311664622e8,3.7499097806752694e8
2,21740,7,1.8748423288083276e8,1.408430185583162e8
2,21740,8,4.9035672907703176e7,2.2089479017468564e7
2,21740,9,3.499679682405907e7,2.4208668685980476e7
2,21740,10,1.530751297065507e8,2.3208895103350705e8
3,21740,1,2.1394448971191972e8,4.441230267539365e6
3,21740,2,3.0850755263367863e9,2.883607340616322e8
3,21740,3,2.8324539881894503e9,6.033147039508258e8
3,21740,4,3.6675929495094132e9,1.3886118763274808e9
3,21740,5,2.6022675289758837e8,1.4226402795270565e8
3,21740,6,3.955969314233942e8,2.8908562969552165e8
3,21740,7,1.1021617431225672e8,8.151167598528188e7
3,21740,8,3.3711705123329364e7,1.8108134427396867e7
3,21740,9,2.444962105005152e7,1.6194964470603961e7
3,21740,10,7.106488741468966e7,1.0022448700740972e8
4,21740,1,4.177351131544332e8,7.15449741547584e6
4,21740,2,2.857756402258215e9,2.5928628401331434e8
4,21740,3,2.761553779774921e9,5.839358116224478e8
4,21740,4,3.975377290051107e9,1.501548714967841e9
4,21740,5,3.857260159444045e8,1.9025542736417583e8
4,21740,6,7.109304769426929e8,5.1182216159703743e8
4,21740,7,2.5790324090768996e8,1.953990299198087e8
4,21740,8,8.093935382889558e7,3.6927137688812874e7
4,21740,9,7.939888879160526e7,5.429128168511835e7
4,21740,10,2.2181908927658957e8,3.39523568249532e8
5,21740,1,1.6218079434493086e8,3.160573123659296e6
5,21740,2,2.8091442576972713e9,2.5954808615557435e8
5,21740,3,2.6599855202237935e9,5.642177397195231e8
5,21740,4,3.677157369293511e9,1.4109169344027772e9
5,21740,5,2.844683681108964e8,1.5808578833236513e8
5,21740,6,4.16508381280878e8,3.114924588535421e8
5,21740,7,1.1772694457168609e8,8.997469063206586e7
5,21740,8,2.777411037801811e7,1.4096584388277724e7
5,21740,9,2.3940768538256153e7,1.6675748216382349e7
5,21740,10,7.395340450012785e7,1.0428421971625164e8
6,21740,1,1.9005403278269276e8,3.8134734216669695e6
6,21740,2,2.759986522553647e9,2.5747655277654138e8
6,21740,3,2.681690947632925e9,5.767649224002602e8
6,21740,4,3.7276508079998703e9,1.4165260206260245e9
6,21740,5,2.695620134449866e8,1.4700298612467337e8
6,21740,6,3.836983235838723e8,2.8745726132595396e8
6,21740,7,1.1418753290030098e8,8.649250635253502e7
6,21740,8,3.1026157470313594e7,1.72647307885146e7
6,21740,9,3.372545725099078e7,2.3628450911615476e7
6,21740,10,7.70413227747379e7,1.1038186193515556e8
7,21740,1,2.4610302681677493e8,4.637299919254291e6
7,21740,2,2.9766018595552645e9,2.7552237222254014e8
7,21740,3,2.824135270266962e9,6.008267263089458e8
7,21740,4,3.6724130981895084e9,1.380709097651163e9
7,21740,5,2.7670477930815506e8,1.4654752710285467e8
7,21740,6,4.712242824691973e8,3.46045724852165e8
7,21740,7,1.6935078286458153e8,1.2869637392679742e8
7,21740,8,4.72670141000895e7,2.1959955895375952e7
7,21740,9,3.580040430564568e7,2.5544798982035205e7
7,21740,10,1.1783553875319608e8,1.7808505542184028e8
