year,variable,age,mean,std,cv,upper,lower
2007,n,1,5.4956816101858015e9,3.1531777679433618e9,0.573755539640288,1.1802037146072525e10,-8.10673925700922e8
2007,n,2,1.1529651009219635e9,2.4621201326761928e8,0.21354680473046142,1.645389127457202e9,6.60541074386725e8
2007,n,3,2.698839697148739e8,3.91748778620932e7,0.14515451919386152,3.4823372543906033e8,1.915342139906875e8
2007,n,4,4.122724995732179e8,5.2976519737941064e7,0.12849879580321766,5.1822553904910004e8,3.063194600973358e8
2007,n,5,6.887149007903501e8,7.211074241072547e7,0.10470332836994406,8.32936385611801e8,5.444934159688991e8
2007,n,6,6.854228659789296e8,6.349803834978569e7,0.0926406770207425,8.12418942678501e8,5.584267892793583e8
2007,n,7,3.740702731115033e8,2.9650854673939303e7,0.07926546642507715,4.3337198245938194e8,3.1476856376362467e8
2007,n,8,2.08397081471247e8,1.594573585397193e7,0.07651611885059915,2.4028855317919084e8,1.7650560976330313e8
2007,n,9,7.59044017129482e7,7.085522101927586e6,0.09334797379371079,9.007544591680337e7,6.173335750909303e7
2007,n,10,7.454869408702545e7,6.587806386868461e6,0.08836917222423903,8.772430686076237e7,6.1373081313288525e7
2007,biomass,1,1.0054265885871796e8,4.872202317529451e7,0.48459055816057595,1.97986705209307e8,3.098612508128941e6
2007,biomass,2,1.0844700990599367e8,2.2368383990441125e7,0.206260956478477,1.5318377788687593e8,6.371024192511142e7
2007,biomass,3,7.357955953263938e7,1.0863950212020773e7,0.14764902482464032,9.530745995668092e7,5.185165910859784e7
2007,biomass,4,1.835972977212351e8,2.3149809609774236e7,0.1260901434667287,2.2989691694078356e8,1.3729767850168663e8
2007,biomass,5,4.026321150065337e8,4.16134078363807e7,0.10335342434297726,4.8585893067929506e8,3.194052993337723e8
2007,biomass,6,4.7390748366292226e8,4.2788513331933595e7,0.09028874792441118,5.594845103267895e8,3.883304569990551e8
2007,biomass,7,3.0069964133496076e8,2.318557035784258e7,0.07710541407668423,3.4707078205064595e8,2.543285006192756e8
2007,biomass,8,1.893580450569685e8,1.404600355886277e7,0.07417695696339185,2.1745005217469406e8,1.6126603793924296e8
2007,biomass,9,7.759509967570654e7,7.167352555740289e6,0.09236862360760964,9.192980478718711e7,6.326039456422596e7
2007,biomass,10,8.86550943070778e7,7.727200817205552e6,0.08716025714710282,1.0410949594148889e8,7.32006926726667e7
2008,n,1,2.666883794862037e8,1.245478168509863e8,0.4670162872898232,5.157840131881763e8,1.7592745784231097e7
2008,n,2,3.1534178714715004e9,1.259327277478099e9,0.39935312375535276,5.672072426427698e9,6.347633165153022e8
2008,n,3,9.29902967070344e8,1.8683916580551502e8,0.20092329245292243,1.303581298681374e9,5.562246354593139e8
2008,n,4,1.5239061687354955e8,1.7787684301811613e7,0.1167242751997746,1.879659854771728e8,1.1681524826992632e8
2008,n,5,1.34999781665533e8,1.1517425460302528e7,0.08531440064723496,1.5803463258613807e8,1.1196493074492794e8
2008,n,6,2.2059396448489732e8,1.748171577272605e7,0.07924838657098851,2.5555739603034943e8,1.856305329394452e8
2008,n,7,1.6940305458479398e8,1.2601690023224968e7,0.0743888004505683,1.946064346312439e8,1.4419967453834406e8
