i,species_code,age,n,biomass
1,21740,1,4.10064908830114e9,1.0513344300879359e8
1,21740,2,1.2040213633897288e9,1.0577442342573166e8
1,21740,3,4.299900225469327e8,1.0043005373874058e8
1,21740,4,3.1267448749163594e9,1.424342201400606e9
1,21740,5,1.0120556017437338e9,5.2051488241367054e8
1,21740,6,3.755274501793929e8,2.232354597948892e8
1,21740,7,3.47411166158448e8,2.323142281683058e8
1,21740,8,4.852230367736936e8,3.5638415795666254e8
1,21740,9,2.402728829439816e8,1.7619329506227767e8
1,21740,10,1.0204516928660516e8,9.443287527375397e7
2,21740,1,4.855965724698071e9,1.3018047248908901e8
2,21740,2,1.0235254870774707e9,8.976080193503854e7
2,21740,3,3.7659757646504825e8,8.88418568122665e7
2,21740,4,2.8271851590976753e9,1.304141326075277e9
2,21740,5,9.319414803166456e8,4.8312583392683095e8
2,21740,6,3.558582804586474e8,2.0715087770036837e8
2,21740,7,3.0849057319330263e8,2.0549301131076702e8
2,21740,8,4.4846765279255635e8,3.251298547998378e8
2,21740,9,2.0010688596436185e8,1.4583607589280453e8
2,21740,10,8.980910210130717e7,8.232374607403673e7
3,21740,1,5.195907369504612e9,1.3826477305509004e8
3,21740,2,1.338363387651674e9,1.1812204917170708e8
3,21740,3,3.6042830694958365e8,8.643701914046688e7
3,21740,4,2.9003996076308503e9,1.321575652080739e9
3,21740,5,9.847450852466655e8,5.0694890790216047e8
3,21740,6,3.681309835731572e8,2.2051802466203138e8
3,21740,7,3.1355668256945795e8,2.117820798942642e8
3,21740,8,4.2206554600090444e8,3.109832607006964e8
3,21740,9,1.932624678160351e8,1.4295639485007912e8
3,21740,10,7.925720559830335e7,7.573174456963904e7
4,21740,1,4.003892708305866e9,1.0601648825389609e8
4,21740,2,1.081536593357696e9,9.498776316288126e7
4,21740,3,3.461333915787089e8,8.240984557921289e7
4,21740,4,2.636437342149537e9,1.2039294045402114e9
4,21740,5,8.459458785387282e8,4.366657982629669e8
4,21740,6,3.1366451937439674e8,1.844641873940962e8
4,21740,7,2.6316185744557297e8,1.7761448525321823e8
4,21740,8,3.817154523414159e8,2.8204740630200815e8
4,21740,9,1.5958642883656198e8,1.1621022468002933e8
4,21740,10,7.83445930094352e7,7.221092066623466e7
5,21740,1,3.1602932451471634e9,8.28619503239252e7
5,21740,2,1.065624182062389e9,9.226780200531918e7
5,21740,3,3.9426662555627626e8,9.325515174568418e7
5,21740,4,3.049144913867668e9,1.4036605072621555e9
5,21740,5,9.936569941747e8,5.104033774144488e8
5,21740,6,3.741666351078235e8,2.2025851881851843e8
5,21740,7,3.6287676765863436e8,2.4209925622443324e8
5,21740,8,4.72655274527208e8,3.490343698688809e8
5,21740,9,2.0518599507709533e8,1.4734847000202054e8
5,21740,10,1.0234654648688695e8,9.319103541760504e7
6,21740,1,4.165089072776016e9,1.1187113683677849e8
6,21740,2,1.3908429765890858e9,1.2147467153662205e8
6,21740,3,4.5874149261416316e8,1.0294751846435568e8
