i,species_code,age,n,biomass
1,21740,1,1.565124289227243e8,2.8422054153870894e6
1,21740,2,4.3776758724844617e8,5.912814581995529e7
1,21740,3,2.6358261202880955e9,7.384672498630786e8
1,21740,4,4.057434359339128e9,1.5510286804981077e9
1,21740,5,1.4513185456695468e9,6.766274039675462e8
1,21740,6,6.083542819101398e8,3.5268380687223905e8
1,21740,7,1.6909439835764277e8,1.0520825840222871e8
1,21740,8,1.9203435627098426e8,1.3094097684057836e8
1,21740,9,9.947901201470865e7,6.707827866980586e7
1,21740,10,2.6134969603602907e8,2.8729361301914686e8
2,21740,1,3.390224561239221e8,5.8710972427910045e6
2,21740,2,3.527598626767019e8,3.769585678057843e7
2,21740,3,2.8431258993834434e9,7.545488179713838e8
2,21740,4,6.110453501077882e9,2.2994837884010553e9
2,21740,5,1.505945002345198e9,6.898139386643138e8
2,21740,6,5.2307194335363936e8,2.932570485095011e8
2,21740,7,4.602567195656431e8,2.9339476680124843e8
2,21740,8,3.54648759110026e8,2.3791020357353848e8
2,21740,9,2.7178440063421607e8,1.9680355256549266e8
2,21740,10,6.76889445757009e8,7.70853850321057e8
3,21740,1,2.1825702673047096e8,3.6239131126324045e6
3,21740,2,3.701709224452246e8,4.3804346608652696e7
3,21740,3,3.768274892569817e9,1.0884350105068746e9
3,21740,4,4.308693119992293e9,1.6981829180660622e9
3,21740,5,1.2840537243672736e9,6.061785069735191e8
3,21740,6,5.452886366773069e8,3.1310618073930925e8
3,21740,7,3.259623416394137e8,2.024059093214892e8
3,21740,8,2.5396622852425164e8,1.6825055764253622e8
3,21740,9,2.4523521392902243e8,1.9161896825766578e8
3,21740,10,3.752626169212531e8,4.1549984266702944e8
4,21740,1,2.2572188174465817e8,4.029074745520315e6
4,21740,2,4.429406062241625e8,5.557680221092046e7
4,21740,3,2.575082313835588e9,6.909893326476648e8
4,21740,4,4.962633428734782e9,1.8508108172241054e9
4,21740,5,2.0363525724560292e9,9.331260318170613e8
4,21740,6,4.649822544465387e8,2.642161251673715e8
4,21740,7,4.633492382971357e8,2.9920464727941996e8
4,21740,8,2.3656397774008298e8,1.553534627311135e8
4,21740,9,2.103199502677427e8,1.5768510580981225e8
4,21740,10,4.296504327687948e8,4.764050829778936e8
5,21740,1,1.6362717558564192e8,2.856806634236362e6
5,21740,2,5.399315274287661e8,6.893895495844665e7
5,21740,3,4.285867154639417e9,1.1995705912869134e9
5,21740,4,4.767949706596024e9,1.8223498327120428e9
5,21740,5,2.1625490742375174e9,9.994261363848629e8
5,21740,6,5.873257463417833e8,3.3387598151068866e8
5,21740,7,3.524563999893058e8,2.286358429114597e8
5,21740,8,2.2616069381396e8,1.601884676536469e8
5,21740,9,1.7803206263496086e8,1.32751758223229e8
5,21740,10,3.058293952934935e8,3.3541223650549555e8
6,21740,1,1.707158366255636e8,3.271652178068148e6
6,21740,2,3.912978798928314e8,4.9288760576375686e7
6,21740,3,3.8101181223335333e9,1.096449017924292e9
6,21740,4,4.61144098083076e9,1.7874057323795195e9
6,21740,5,1.4940828724850776e9,6.843195517470871e8
6,21740,6,4.966278632667949e8,2.824706538473207e8
6,21740,7,3.740689963610985e8,2.3933718624610335e8
6,21740,8,2.127458424573128e8,1.394978537946824e8
6,21740,9,1.2016131985330017e8,8.655124772349708e7
6,21740,10,2.9153143029125977e8,3.2024441279226e8
7,21740,1,1.599674662442523e8,3.0098494968217993e6
7,21740,2,4.109332257754449e8,5.061948332539258e7
7,21740,3,3.9651984140715938e9,1.141141497803841e9
7,21740,4,3.480008858741343e9,1.3457147692015092e9
7,21740,5,1.5819392538532033e9,7.344988611391505e8
7,21740,6,6.616059251961194e8,3.7685875350557244e8
7,21740,7,3.489547420341387e8,2.196695104620933e8
7,21740,8,2.4741501847394913e8,1.704339222652759e8
7,21740,9,1.6563196293545133e8,1.2037962283596951e8
7,21740,10,3.053936367128006e8,3.212071403980239e8
8,21740,1,1.7745376526528752e8,3.08080415616366e6
8,21740,2,3.947626833720287e8,5.119821457218775e7
8,21740,3,3.557541390496973e9,1.0114100643624456e9
8,21740,4,4.997718801639991e9,1.9690341187278724e9
8,21740,5,1.0010162679451869e9,4.774337205416562e8
8,21740,6,4.776196519984805e8,2.749763682743918e8
8,21740,7,3.046128649485328e8,1.9057976316270047e8
8,21740,8,1.6533541371466106e8,1.0733885210987484e8
8,21740,9,2.169327869927586e8,1.7114535774484068e8
8,21740,10,2.948148889219942e8,3.1567991696493167e8
9,21740,1,2.096751926374459e8,3.9060053686188557e6
9,21740,2,6.094528560139334e8,7.970096146461666e7
9,21740,3,3.658722416270815e9,1.0330364705644202e9
9,21740,4,4.400382719650629e9,1.6909943949670084e9
9,21740,5,1.9504357504403665e9,8.951077363002844e8
9,21740,6,4.4185732853498006e8,2.5645025791377613e8
9,21740,7,2.65467170505823e8,1.6509900151630825e8
9,21740,8,2.1186327825354084e8,1.419473269784212e8
9,21740,9,1.6378533262055963e8,1.2601173879456913e8
9,21740,10,3.0738759298045045e8,3.3872044021627414e8
10,21740,1,1.816248656668989e8,3.1741084433793016e6
10,21740,2,3.479610384772746e8,4.195245694768407e7
10,21740,3,3.2807171325532336e9,9.164049110864191e8
10,21740,4,4.779026283939288e9,1.845288963562162e9
10,21740,5,1.375368766060566e9,6.363824055988001e8
10,21740,6,3.63776015959408e8,2.066206109282651e8
10,21740,7,4.52353000615031e8,2.851881681467862e8
10,21740,8,2.358740074832679e8,1.5414027783446583e8
10,21740,9,2.4492322352730232e8,1.8420116965665936e8
10,21740,10,4.0377230684330386e8,4.455946649752448e8
11,21740,1,1.4797013874256167e8,2.5233132630988276e6
11,21740,2,4.370096281903695e8,5.348121067939352e7
