i,species_code,age,n,biomass
1,21740,1,5.661123761418324e9,1.1687163696197093e8
1,21740,2,6.430588731542119e8,6.537365324824867e7
1,21740,3,1.1182206667026272e9,2.678344222665516e8
1,21740,4,1.5952361698740205e8,7.038960991533047e7
1,21740,5,4.492278368320865e7,2.9051616132319912e7
1,21740,6,5.78074660497389e7,5.817342795365948e7
1,21740,7,4.9062420952454165e7,4.0682083627516076e7
1,21740,8,3.445160697485369e7,4.461508478720016e7
1,21740,9,5.30241428566316e7,5.980430359462954e7
1,21740,10,3.9224936517014526e7,5.303408786808506e7
2,21740,1,8.20136023997142e9,1.7052910412381616e8
2,21740,2,8.658040239666735e8,8.391702069120255e7
2,21740,3,1.593472003056973e9,3.853309275190063e8
2,21740,4,2.0299732769632894e8,8.856519926068072e7
2,21740,5,4.272993592096537e7,2.75660372241265e7
2,21740,6,7.745441832238257e7,7.35271314787816e7
2,21740,7,5.174068384987329e7,4.457877400196318e7
2,21740,8,3.2849884902492993e7,4.097048081594436e7
2,21740,9,5.921523810153831e7,6.47793321846325e7
2,21740,10,3.0838242958805144e7,4.2464519375852056e7
3,21740,1,6.3753465203349495e9,1.3200874804411972e8
3,21740,2,6.749465412140687e8,6.761679218225223e7
3,21740,3,1.3658115576837168e9,3.3314831756156456e8
3,21740,4,1.7581905625479335e8,7.561901658392397e7
3,21740,5,4.80945990297462e7,3.062107015363219e7
3,21740,6,5.496912968331924e7,5.3534577164165996e7
3,21740,7,4.953599501273806e7,4.2471071242602274e7
3,21740,8,3.4694740910189405e7,4.207012950201087e7
3,21740,9,5.142085258642524e7,5.6050027283057414e7
3,21740,10,2.7725357562460713e7,3.9484364969161086e7
4,21740,1,6.617248849546921e9,1.3749636409051287e8
4,21740,2,7.115690844249761e8,7.163520606780812e7
4,21740,3,1.4962972457344174e9,3.666287175887872e8
4,21740,4,2.238465301497832e8,9.813215794742191e7
4,21740,5,5.50681250907661e7,3.272565813989654e7
4,21740,6,7.049038419657044e7,6.358502760051374e7
4,21740,7,4.977252406234872e7,4.1170468326182835e7
4,21740,8,3.43185567898576e7,4.241019706802116e7
4,21740,9,5.465074062195013e7,5.9088683937952735e7
4,21740,10,3.1303306105337083e7,4.336210811693221e7
5,21740,1,5.53054586496777e9,1.1534482995721543e8
5,21740,2,6.938657322867264e8,6.563904067317227e7
5,21740,3,1.3411968035330715e9,3.261001481050948e8
5,21740,4,1.819071554911243e8,7.93085108686963e7
5,21740,5,4.457425176475247e7,2.7056682759059217e7
5,21740,6,6.239002659434678e7,6.209475335482247e7
5,21740,7,4.382170350249233e7,3.595845993339441e7
5,21740,8,2.528029966298481e7,3.2020245392162457e7
5,21740,9,5.568829033282074e7,6.276026112714768e7
5,21740,10,2.831768174195821e7,3.964924295479878e7
6,21740,1,5.4950217061746025e9,1.182369332715972e8
6,21740,2,8.023466145146611e8,8.111382405485967e7
6,21740,3,1.7035828611917994e9,4.230932109355759e8
6,21740,4,3.109528944257029e8,1.3661541168161812e8
6,21740,5,6.24641611546418e7,3.692490383169569e7
6,21740,6,7.873100288260318e7,7.33121251657714e7
6,21740,7,6.206273479363443e7,4.8862738107502885e7
6,21740,8,3.5502474022014864e7,4.310984980180064e7
