i,species_code,age,n,biomass
1,21740,1,6.879244801221339e9,2.1343712176398987e8
1,21740,2,9.79231653689571e9,1.1046636275158312e9
1,21740,3,1.228230368717419e9,3.231983704364989e8
1,21740,4,2.283614524442355e9,1.0484993980455322e9
1,21740,5,4.7128543964716524e8,2.9290813017517185e8
1,21740,6,7.76219444548895e7,5.511669360344683e7
1,21740,7,1.998349272348896e7,1.1753611418654267e7
1,21740,8,3.78835107672391e7,3.246754471229873e7
1,21740,9,9.33405724298852e7,1.5947384738025603e8
1,21740,10,4.908354124646744e7,5.705529990393298e7
2,21740,1,5.640180153664872e9,1.7613284207029268e8
2,21740,2,6.3804056955194025e9,7.24100246186661e8
2,21740,3,9.899805997331283e8,2.6934296745337933e8
2,21740,4,2.112984939260453e9,9.923334687984829e8
2,21740,5,3.932701545430324e8,2.4686243039652252e8
2,21740,6,5.014462102181662e7,3.642026151999453e7
2,21740,7,1.0371385223882223e7,6.917094391453643e6
2,21740,8,1.2293397643316887e7,1.0968418008347787e7
2,21740,9,3.74612698978965e7,5.8063253324423015e7
2,21740,10,1.2192708999471704e7,1.3137996631677905e7
3,21740,1,5.882671145083984e9,1.850533622062415e8
3,21740,2,9.167656519299269e9,1.03568401772214e9
3,21740,3,1.2206433712452245e9,3.252958075799305e8
3,21740,4,2.4640529537059793e9,1.154489224910184e9
3,21740,5,5.435354260927737e8,3.4607188092765266e8
3,21740,6,9.738632055796908e7,6.752278677045803e7
3,21740,7,4.041715484105732e7,2.322833837054522e7
3,21740,8,5.495057469716131e7,4.5037925329418495e7
3,21740,9,1.4970977849211708e8,2.557814417495546e8
3,21740,10,6.62767916133311e7,7.750069054004131e7
4,21740,1,4.62332380656361e9,1.4273793790848958e8
4,21740,2,6.129799182312002e9,6.887138769143014e8
4,21740,3,8.354377298956302e8,2.2465511185444224e8
4,21740,4,1.8409377310430026e9,8.595493807650206e8
4,21740,5,3.9259278414595586e8,2.481352314431034e8
4,21740,6,5.9668280131093696e7,4.203332892212705e7
4,21740,7,2.051503151678888e7,1.0456880666690744e7
4,21740,8,3.046635688392264e7,2.516411164360804e7
4,21740,9,1.0691867921531335e8,1.8610050246533513e8
