i,species_code,age,n,biomass
1,21740,1,8.183801656708683e7,1.5445783677387824e6
1,21740,2,8.245051081100588e8,8.521771660964227e7
1,21740,3,3.400049266323319e9,9.392666725614667e8
1,21740,4,3.0354855729064884e9,1.49762165915605e9
1,21740,5,4.079194147493102e8,2.1569300239722973e8
1,21740,6,1.7451348371029007e8,1.0365830344995157e8
1,21740,7,2.136351647648265e8,1.7979871775548193e8
1,21740,8,2.1420406922918975e8,1.4823817362769052e8
1,21740,9,5.734428847322394e7,3.35271749834411e7
1,21740,10,3.59617498026106e7,2.9309527230992973e7
2,21740,1,1.2507250960024849e8,2.200377414057547e6
2,21740,2,9.521798554462162e8,1.0073589902701415e8
2,21740,3,3.8323200267716475e9,1.0661166107709152e9
2,21740,4,3.5409273236522717e9,1.73916683833949e9
2,21740,5,4.800790565598401e8,2.4795394769426823e8
2,21740,6,2.3987993863528508e8,1.333271733650269e8
2,21740,7,3.3141861758225214e8,2.8577730564970696e8
2,21740,8,2.8863279106488776e8,2.0300986590640754e8
2,21740,9,7.920967133547819e7,4.683686122847352e7
2,21740,10,7.644010883526553e7,6.912744884798442e7
3,21740,1,1.8226900278925163e8,3.3415344598443895e6
3,21740,2,1.0685934575578012e9,1.1033308328872341e8
3,21740,3,5.003581302628103e9,1.3821513543266585e9
3,21740,4,4.903479594517574e9,2.3920701026182203e9
3,21740,5,6.747615954728574e8,3.4222506521945757e8
3,21740,6,3.1450685491464806e8,1.7130703115694252e8
3,21740,7,4.235036472912996e8,3.616957625886228e8
3,21740,8,3.6899592095993614e8,2.5671370543601358e8
3,21740,9,9.620408750723186e7,5.684648580203316e7
3,21740,10,1.171215024900745e8,9.853854790008923e7
4,21740,1,1.137374016203315e8,2.1290936396725164e6
4,21740,2,1.3610382042915158e9,1.4136965883324072e8
4,21740,3,5.915328830887153e9,1.6326195636807022e9
4,21740,4,5.036950259665108e9,2.481457951711057e9
4,21740,5,6.5392091373732e8,3.435852005648981e8
4,21740,6,2.867700952365359e8,1.7105758450301728e8
4,21740,7,3.3310229840826964e8,2.813388636018398e8
4,21740,8,3.247255604476502e8,2.2841665507393312e8
4,21740,9,7.838172892583062e7,5.032389599734752e7
4,21740,10,6.080255198476357e7,5.182459298842601e7
5,21740,1,1.0126574546973011e8,1.9261278512015736e6
5,21740,2,1.221334094721977e9,1.3054449723359264e8
5,21740,3,4.979621558537068e9,1.3863566038294094e9
5,21740,4,4.706506086508235e9,2.311535423883968e9
5,21740,5,6.423817021159132e8,3.4335521317998505e8
5,21740,6,2.660062188818243e8,1.635508718094143e8
5,21740,7,2.828644912529361e8,2.3367974033526582e8
5,21740,8,2.9231472066370046e8,2.06643393394939e8
5,21740,9,6.940780463251057e7,4.6091457425667986e7
5,21740,10,3.262444850098946e7,2.5766597014076002e7
6,21740,1,2.035867280662856e8,3.5744767507464825e6
6,21740,2,1.0576647024259274e9,1.0865737093602449e8
6,21740,3,4.2915430026963654e9,1.1743259625130208e9
6,21740,4,4.595420182640741e9,2.278020421804971e9
6,21740,5,6.670492175094056e8,3.412331820157848e8
6,21740,6,3.279845681431513e8,1.7675815231574324e8
6,21740,7,4.97945099906397e8,4.304910646547659e8
