i,species_code,age,n,biomass
1,21740,1,1.7092580879697406e8,2.9928258019525167e6
1,21740,2,4.995402901972832e9,3.973583136030538e8
1,21740,3,1.3984195663594308e9,3.1571624958955e8
1,21740,4,2.0395947613725203e8,8.228737960701087e7
1,21740,5,1.617670069911974e8,8.505456637277907e7
1,21740,6,2.873074454924561e8,1.8567222759897575e8
1,21740,7,2.4169012460892302e8,1.9214676134185824e8
1,21740,8,1.534469327284831e8,1.4656571386512133e8
1,21740,9,1.13944262362001e8,1.0980138510745005e8
1,21740,10,1.2790165905764301e8,1.839592714214722e8
2,21740,1,5.397485818363709e7,724449.9153119947
2,21740,2,2.763667348455642e9,2.205279458552655e8
2,21740,3,1.0045322601919922e9,2.329528421556412e8
2,21740,4,2.1062036088067648e8,8.81204204123289e7
2,21740,5,2.002171361036442e8,1.0593904964482066e8
2,21740,6,3.624237604847742e8,2.3947495574921122e8
2,21740,7,3.092264819527906e8,2.480326740823987e8
2,21740,8,2.0747942491210368e8,1.975596425670044e8
2,21740,9,1.478870773048586e8,1.416900258453732e8
2,21740,10,1.5275057855148327e8,2.120139976020012e8
3,21740,1,8.223991013542716e7,1.3632373055031507e6
3,21740,2,2.8697267996687336e9,2.3014237294434896e8
3,21740,3,9.782205719831179e8,2.2663672143572396e8
3,21740,4,2.156644543321013e8,9.080607403311367e7
3,21740,5,1.8930791946192345e8,1.0488074644461596e8
3,21740,6,3.1309920252529377e8,2.0994881345568496e8
3,21740,7,2.5325047353817534e8,2.026413643596221e8
3,21740,8,1.471033639886341e8,1.4208092744419283e8
3,21740,9,1.1269887953561564e8,1.0742421973536104e8
3,21740,10,1.148601709576343e8,1.5963272566558433e8
4,21740,1,6.619145866525684e7,994702.4515270019
4,21740,2,3.324695706728014e9,2.6410357597090173e8
4,21740,3,7.641660215386139e8,1.730851218937498e8
4,21740,4,1.6704784343817905e8,6.719165762429166e7
4,21740,5,1.5234720350195146e8,7.95189054886059e7
4,21740,6,2.9306953202474874e8,1.916618480391511e8
