i,species_code,age,n,biomass
1,21740,1,7.791974935515718e9,2.0916256259152365e8
1,21740,2,8.589075514543144e9,1.1064145589195895e9
1,21740,3,1.5600361038312812e9,3.4353021261061823e8
1,21740,4,1.4411222831936777e9,5.712589640859088e8
1,21740,5,1.390565187240079e9,7.639300323050715e8
1,21740,6,1.8092980560758884e9,1.312689869293614e9
1,21740,7,6.389150115912288e8,5.420114913015816e8
1,21740,8,2.0568028111520258e8,1.9390102839203897e8
1,21740,9,5.4737584222246006e7,3.824901207717529e7
1,21740,10,1.1022617739477554e8,1.5825360782209924e8
2,21740,1,7.222894495462452e9,1.9516650305940184e8
2,21740,2,9.213020437772028e9,1.1874211161218657e9
2,21740,3,1.535583127434e9,3.4016872734366846e8
2,21740,4,1.5692264475212572e9,6.287654879907825e8
2,21740,5,1.4239911432339194e9,7.77042227680256e8
2,21740,6,1.8519580068652408e9,1.342261255285521e9
2,21740,7,6.301016892851524e8,5.306113411008458e8
2,21740,8,1.7806262316362578e8,1.7350741970478934e8
2,21740,9,7.48868378608338e7,5.905647097829989e7
2,21740,10,9.551559434033085e7,1.3586917901928276e8
3,21740,1,5.533763649054167e9,1.480469837790102e8
3,21740,2,6.861464256360353e9,8.858383287524943e8
3,21740,3,1.1712444326315281e9,2.562683811246287e8
3,21740,4,1.23211777786202e9,4.746385493732486e8
3,21740,5,1.3692739447030044e9,7.320686655732374e8
3,21740,6,1.8631801302321157e9,1.361750561185982e9
3,21740,7,7.343379539439511e8,6.448462701076907e8
3,21740,8,2.148365027329135e8,2.017702264466789e8
3,21740,9,6.708677371665832e7,4.5578009066619396e7
3,21740,10,1.1433357720086011e8,1.6366250670045555e8
4,21740,1,4.921735877284993e9,1.3089258328309405e8
4,21740,2,6.109790140009296e9,7.86300010069397e8
4,21740,3,1.1337414089623847e9,2.477390427530341e8
4,21740,4,1.104547220885221e9,4.2998384681474805e8
4,21740,5,1.2060619641282773e9,6.490168899835575e8
4,21740,6,1.612401235844509e9,1.185249594571591e9
4,21740,7,6.763457298892324e8,5.834888158635463e8
4,21740,8,1.7456707621009246e8,1.5957176559026027e8
4,21740,9,7.84602880134824e7,5.629591625107914e7
4,21740,10,1.2432012825448711e8,1.864406848030843e8
5,21740,1,6.927442880490825e9,1.8712482298470223e8
5,21740,2,7.206134128172752e9,9.438841515019128e8
5,21740,3,1.3220019103812e9,2.9352906521582395e8
5,21740,4,1.2177601926868284e9,4.800070779243601e8
5,21740,5,1.237147587066763e9,6.747221014648943e8
5,21740,6,1.5437312758433015e9,1.1245776498627374e9
5,21740,7,5.916084081355507e8,4.917111157748607e8
5,21740,8,1.7431995708133173e8,1.666058239029485e8
5,21740,9,6.13947057934755e7,4.621130102123585e7
5,21740,10,7.804728176520726e7,1.0879702679500714e8
6,21740,1,8.660278406952034e9,2.321195502348249e8
6,21740,2,8.887619899631664e9,1.1386373123888865e9
6,21740,3,1.5626888415151253e9,3.4258754846358013e8
6,21740,4,1.43752760097447e9,5.789242386533593e8
6,21740,5,1.279721031055944e9,7.078394929731662e8
6,21740,6,1.5504256428234315e9,1.1127848265413775e9
6,21740,7,5.3501795100607383e8,4.3720192624118274e8
6,21740,8,1.3269751953713617e8,1.3136873249359713e8
6,21740,9,3.888109733086984e7,3.191962503404033e7
6,21740,10,4.662494603577114e7,6.435188673436814e7
7,21740,1,7.571733288041489e9,1.9644307271380222e8
7,21740,2,7.660492138063814e9,9.824274681632206e8
7,21740,3,1.3611493247868094e9,2.9999154406905824e8
7,21740,4,1.3615932970078585e9,5.297075541889539e8
7,21740,5,1.479321082115678e9,7.836361515460566e8
7,21740,6,2.229053284880523e9,1.6596086339659135e9
7,21740,7,8.838086831840659e8,7.702800102916088e8
7,21740,8,2.386871235417627e8,2.2093991029614413e8
7,21740,9,9.390233749124214e7,6.326016858402854e7
7,21740,10,1.9622796362834775e8,2.876587420590721e8
8,21740,1,5.503315378577951e9,1.4570764213387272e8
8,21740,2,6.407180699172821e9,8.198451730841931e8
8,21740,3,9.836345073100296e8,2.098284466987779e8
8,21740,4,7.99939820583072e8,3.136642392731508e8
8,21740,5,8.244293942340168e8,4.437862096760021e8
8,21740,6,1.1242579209558566e9,8.227296614404181e8
8,21740,7,3.9402347880674464e8,3.3985815529591835e8
8,21740,8,1.1999175702277838e8,1.1007611458322576e8
