Date,Location,transceiver,transducer,sphere_id,cwfm,power,pulse_length,transducer_temp,sphere_temp,TS_ref,range,TS_meas,system_gain,Sa_corr_sys,Sv_gain,,,
23-Mar-18,"Kalsin Bay, AK, WC sphere 33, 1024 ms",,,,,,,4.03 ,4.04,-42.15 ,14.33 ,-42.24 ,22.63 ,-0.67 ,21.96 ,,,
23-Mar-18,"Kalsin Bay, AK, WC sphere 33, 1024 ms",,,,,,,4.03 ,4.04,-42.15 ,14.33 ,-42.25 ,22.63 ,-0.67 ,21.97,,,
23-Mar-18,"Kalsin Bay, AK, WC sphere 33, 1024 ms",,,,,,,4.03 ,4.04,-42.15 ,35.87 ,-42.19 ,22.63 ,-0.67 ,21.97,,,
23-Mar-18,"Kalsin Bay, AK, WC sphere 33, 1024 ms",,,,,,,4.03 ,4.04,-42.15 ,35.87 ,-42.22 ,22.63 ,-0.67 ,22.01,,,
,,,,,,,,shelikof cal 2 final values (1.024 ms PL),,-42.15 ,,,,,21.96,,,
,,,,,,,,AK winter 2018 final cal values (1.024 ms PL),,,,,,,21.97,,,
7-Jun-18,"Captains Bay, AK, sphere 33, 0.512 ms",,,,,,,5.20 ,5.30,,40.84 ,-40.71 ,21.37 ,-0.62 ,21.49,,,
25-Aug-18,"Kalsin Bay, AK, WC sphere 33,  0.512 ms",,,,,,,10.30 ,10.09,-42.14 ,19.36 ,-42.63 ,22.09 ,-0.59 ,21.22,,,
,,,,,,,,EBS summer 2018 final values (0.512 ms PL),,-42.23 ,,,,,21.36 ,,,
9-Apr-19,"Port Madison, WA, WC sphere 42, 0.512 ms",,,,,,,9.15 ,8.65,,20.69 ,-42.29 ,22.09 ,-0.59 ,21.45 ,,,
,,,,,,,,,,-42.21 ,,,,,,,,
31-May-19,"Kalsin Bay, AK, 0.512 ms, WC sphere 33",,,,,,,8.00 ,7.20,,20.28 ,-42.50 ,22.05 ,-0.60 ,21.2720556000144,,,
5-Aug-19,"Redfield Cove, Yakutat Bay, 0.512 ms, WC sphere 33",,,,,,,7.92 ,7.06,-42.19 ,32.35 ,-41.70 ,21.89 ,-0.62 ,21.5510465518146,,,
5-Aug-19,"Redfield Cove, Yakutat Bay, 0.512 ms, WC sphere 33",,,,,,,7.92 ,7.06,-42.19 ,31.88 ,-41.83 ,21.89 ,-0.62 ,21.459297411995,,,
,,,,,,,,,,-42.19 ,,,,,21.3666855212744,,,
