Column1,survey,event_id,latitude,longitude,lla,utm,x,y
1,201807,1,56.9774183333,-160.92037,"LLA(lat=56.9774183333°, lon=-160.92037°, alt=0.0)","UTM(747893.8445050314, 6.322276938304631e6, 0.0)",747.8938445050313,6322.276938304631
2,201807,2,56.7239283333,-161.54203,"LLA(lat=56.7239283333°, lon=-161.54203°, alt=0.0)","UTM(711566.2403535247, 6.2919957275010515e6, 0.0)",711.5662403535247,6291.995727501051
3,201807,3,56.1000333333,-162.196405,"LLA(lat=56.1000333333°, lon=-162.196405°, alt=0.0)","UTM(674375.9038825879, 6.220755331149992e6, 0.0)",674.3759038825879,6220.755331149991
4,201807,4,55.7531883333,-162.82476,"LLA(lat=55.7531883333°, lon=-162.82476°, alt=0.0)","UTM(636516.267592395, 6.1807532208052715e6, 0.0)",636.5162675923949,6180.753220805272
5,201807,5,56.736285,-162.7619,"LLA(lat=56.736285°, lon=-162.7619°, alt=0.0)","UTM(636906.202147086, 6.290267297581201e6, 0.0)",636.906202147086,6290.267297581201
6,201807,6,55.7718,-163.391183333,"LLA(lat=55.7718°, lon=-163.391183333°, alt=0.0)","UTM(600923.9423644746, 6.181853667354433e6, 0.0)",600.9239423644747,6181.853667354433
7,201807,7,55.3263583333,-163.98631,"LLA(lat=55.3263583333°, lon=-163.98631°, alt=0.0)","UTM(564315.692454828, 6.131577152256214e6, 0.0)",564.315692454828,6131.5771522562145
8,201807,112,60.8281,-174.845165,"LLA(lat=60.8281°, lon=-174.845165°, alt=0.0)","UTM(-33968.07355789072, 6.7838438486600965e6, 0.0)",-33.96807355789072,6783.843848660096
9,201807,113,61.7582466667,-175.105511667,"LLA(lat=61.7582466667°, lon=-175.105511667°, alt=0.0)","UTM(-31952.326680333354, 6.888731926588547e6, 0.0)",-31.952326680333353,6888.731926588547
10,201807,114,61.753685,-175.107068333,"LLA(lat=61.753685°, lon=-175.107068333°, alt=0.0)","UTM(-32112.897806285182, 6.888240971978727e6, 0.0)",-32.11289780628518,6888.2409719787265
11,201807,115,62.3172,-175.2748,"LLA(lat=62.3172°, lon=-175.2748°, alt=0.0)","UTM(-30931.180492582964, 6.951836298168026e6, 0.0)",-30.931180492582964,6951.836298168026
12,201807,116,61.5014283333,-175.714146667,"LLA(lat=61.5014283333°, lon=-175.714146667°, alt=0.0)","UTM(-68503.86433045659, 6.865553475857347e6, 0.0)",-68.5038643304566,6865.553475857348
13,201807,29,56.5256616667,-166.408338333,"LLA(lat=56.5256616667°, lon=-166.408338333°, alt=0.0)","UTM(413364.3519721926, 6.265475033233069e6, 0.0)",413.3643519721926,6265.475033233069
14,201807,30,57.6167766667,-166.478665,"LLA(lat=57.6167766667°, lon=-166.478665°, alt=0.0)","UTM(411669.6653957127, 6.387008639365569e6, 0.0)",411.66966539571274,6387.008639365568
15,201807,31,56.3168866667,-166.987093333,"LLA(lat=56.3168866667°, lon=-166.987093333°, alt=0.0)","UTM(377094.76324967947, 6.243122871203631e6, 0.0)",377.0947632496795,6243.122871203631
16,201807,32,54.625945,-166.906278333,"LLA(lat=54.625945°, lon=-166.906278333°, alt=0.0)","UTM(376933.85557232157, 6.054837814879983e6, 0.0)",376.9338555723216,6054.837814879983
17,201807,33,55.149035,-167.508115,"LLA(lat=55.149035°, lon=-167.508115°, alt=0.0)","UTM(340172.49225152936, 6.114247629953794e6, 0.0)",340.1724922515294,6114.247629953794
18,201807,117,61.1227416667,-175.619618333,"LLA(lat=61.1227416667°, lon=-175.619618333°, alt=0.0)","UTM(-70393.32700602582, 6.82294191680628e6, 0.0)",-70.39332700602583,6822.94191680628
19,201807,118,60.4403166667,-175.412423333,"LLA(lat=60.4403166667°, lon=-175.412423333°, alt=0.0)","UTM(-71415.42077914136, 6.745799604965487e6, 0.0)",-71.41542077914137,6745.799604965487
20,201807,119,59.9088816667,-175.25449,"LLA(lat=59.9088816667°, lon=-175.25449°, alt=0.0)","UTM(-72010.17959208007, 6.685731278882289e6, 0.0)",-72.01017959208006,6685.731278882289
21,201807,120,59.2662433333,-175.068408333,"LLA(lat=59.2662433333°, lon=-175.068408333°, alt=0.0)","UTM(-72559.89741288032, 6.613110812371758e6, 0.0)",-72.55989741288032,6613.110812371758
22,201807,121,59.1000766667,-175.021,"LLA(lat=59.1000766667°, lon=-175.021°, alt=0.0)","UTM(-72664.68002899294, 6.594335307942392e6, 0.0)",-72.66468002899293,6594.335307942392
23,201807,122,59.0091616667,-174.989866667,"LLA(lat=59.0091616667°, lon=-174.989866667°, alt=0.0)","UTM(-72412.51430061541, 6.584017211943686e6, 0.0)",-72.41251430061541,6584.017211943686
24,201807,34,55.7204083333,-167.540753333,"LLA(lat=55.7204083333°, lon=-167.540753333°, alt=0.0)","UTM(340415.7897495958, 6.177887016813981e6, 0.0)",340.4157897495958,6177.887016813981
25,201807,35,56.4970766667,-167.615788333,"LLA(lat=56.4970766667°, lon=-167.615788333°, alt=0.0)","UTM(338980.949356978, 6.264470892856937e6, 0.0)",338.980949356978,6264.470892856937
26,201807,36,56.7057183333,-167.53736,"LLA(lat=56.7057183333°, lon=-167.53736°, alt=0.0)","UTM(344666.3315864093, 6.287504337366333e6, 0.0)",344.6663315864093,6287.504337366333
27,201807,37,57.046215,-167.677583333,"LLA(lat=57.046215°, lon=-167.677583333°, alt=0.0)","UTM(337568.3014758216, 6.325716086095947e6, 0.0)",337.5683014758216,6325.716086095947
28,201807,38,57.9486316667,-168.381653333,"LLA(lat=57.9486316667°, lon=-168.381653333°, alt=0.0)","UTM(299877.72939396766, 6.4279989798763255e6, 0.0)",299.8777293939677,6427.998979876325
29,201807,39,57.50885,-168.3417,"LLA(lat=57.50885°, lon=-168.3417°, alt=0.0)","UTM(299825.5292878285, 6.378956990557329e6, 0.0)",299.8255292878285,6378.956990557329
30,201807,123,59.0347866667,-174.97918,"LLA(lat=59.0347866667°, lon=-174.97918°, alt=0.0)","UTM(-71375.79738999391, 6.586757998712367e6, 0.0)",-71.3757973899939,6586.757998712367
31,201807,124,58.5216066667,-175.50663,"LLA(lat=58.5216066667°, lon=-175.50663°, alt=0.0)","UTM(-110408.62052458187, 6.534723230241524e6, 0.0)",-110.40862052458188,6534.723230241524
32,201807,125,59.46342,-175.792176667,"LLA(lat=59.46342°, lon=-175.792176667°, alt=0.0)","UTM(-109919.15564647072, 6.641354034349602e6, 0.0)",-109.91915564647073,6641.3540343496015
