"","survey","transect","interval","class","nasc","start_longitude","start_latitude","start_vessel_log","mean_bottom_depth","start_longitute"
"60",201807,1,20180608151811,"PK1",86.670121,-160.9551086,56.6959925,350.502385,68.72,-160.9551086
"61",201807,1,20180608152036,"PK1",142.490313,-160.9558276,56.6876943,351.000523,69.94,-160.9558276
"62",201807,1,20180608152301,"PK1",79.351299,-160.9565629,56.6793613,351.500811,71.03,-160.9565629
"63",201807,1,20180608152527,"PK1",59.753867,-160.9573008,56.6710331,352.000229,71.29,-160.9573008
"64",201807,1,20180608152752,"PK1",87.089604,-160.9578377,56.6626998,352.500566,71.58,-160.9578377
"65",201807,1,20180608153018,"PK1",180.815854,-160.9582867,56.6543392,353.001922,71.85,-160.9582867
"66",201807,1,20180608153244,"PK1",178.385215,-160.9589233,56.6459917,353.502114,72.36,-160.9589233
"67",201807,1,20180608153510,"PK1",191.596027,-160.9597132,56.6376777,354.001243,71.93,-160.9597132
"68",201807,1,20180608153736,"PK1",199.547732,-160.9604955,56.6293716,354.500132,71.65,-160.9604955
"69",201807,1,20180608154003,"PK1",133.293911,-160.961272,56.6209966,355.002233,72.44,-160.961272
"70",201807,1,20180608154230,"PK1",104.361671,-160.9618643,56.6126925,355.500066,71.07,-160.9618643
"71",201807,1,20180608154456,"PK1",209.462026,-160.9624334,56.6043542,356.001289,68.93,-160.9624334
"72",201807,1,20180608154722,"PK1",205.293321,-160.9629301,56.5960212,356.501083,70.01,-160.9629301
"73",201807,1,20180608154948,"PK1",249.843537,-160.963446,56.5876933,357.000545,70.94,-160.963446
"74",201807,1,20180608155214,"PK1",323.596772,-160.9639429,56.5793323,357.502197,71.21,-160.9639429
"75",201807,1,20180608155440,"PK1",300.603551,-160.9644852,56.5710383,358.000007,71.24,-160.9644852
"76",201807,1,20180608155705,"PK1",171.066612,-160.9650157,56.5626794,358.501636,69.63,-160.9650157
"77",201807,1,20180608155931,"PK1",401.078152,-160.9656063,56.5543269,359.003154,68.44,-160.9656063
"78",201807,1,20180608160155,"PK1",195.549502,-160.966175,56.5459963,359.50192,67.25,-160.966175
"79",201807,1,20180608160420,"PK1",319.262062,-160.9667503,56.5376843,360.001518,67.46,-160.9667503
"80",201807,1,20180608160646,"PK1",325.82043,-160.9674211,56.5293285,360.503199,67.36,-160.9674211
"81",201807,1,20180608160911,"PK1",479.878726,-160.9681085,56.5210063,361.002489,66.56,-160.9681085
"82",201807,1,20180608161137,"PK1",362.380727,-160.9687689,56.5126992,361.50088,65.67,-160.9687689
"83",201807,1,20180608161402,"PK1",274.147799,-160.9694049,56.5043899,362.000179,64.34,-160.9694049
"84",201807,1,20180608161627,"PK1",353.67492,-160.9700721,56.4960383,362.501353,63.46,-160.9700721
"85",201807,1,20180608161852,"PK1",507.033006,-160.9707765,56.4877092,363.001738,63.54,-160.9707765
"86",201807,1,20180608162115,"PK1",311.863064,-160.9715472,56.4793598,363.503127,63.75,-160.9715472
"87",201807,1,20180608162339,"PK1",199.719269,-160.972363,56.4710551,364.002235,63.89,-160.972363
"88",201807,1,20180608162602,"PK1",203.585855,-160.9731685,56.4627418,364.501117,64.16,-160.9731685
"89",201807,1,20180608162826,"PK1",78.806781,-160.9737767,56.4544066,365.001734,63.91,-160.9737767
"90",201807,1,20180608163051,"PK1",437.132533,-160.9743479,56.4460632,365.50249,62.9,-160.9743479
"91",201807,1,20180608163316,"PK1",295.960801,-160.974996,56.4377158,366.003476,61.65,-160.974996
"92",201807,1,20180608163539,"PK1",467.70114,-160.9756983,56.4294149,366.501715,60.32,-160.9756983
"93",201807,1,20180608163803,"PK1",726.708141,-160.9764035,56.4211123,367.000093,59.09,-160.9764035
"94",201807,1,20180608164028,"PK1",240.634509,-160.977015,56.412709,367.503497,58.83,-160.977015
"95",201807,1,20180608164252,"PK1",292.294782,-160.97744,56.4043837,368.002399,58.14,-160.97744
"96",201807,1,20180608164515,"PK1",453.990723,-160.977885,56.3960655,368.500535,57.68,-160.977885
"97",201807,1,20180608164739,"PK1",392.9268,-160.978291,56.3876846,369.003113,57.38,-160.978291
"98",201807,1,20180608165001,"PK1",198.411408,-160.9787138,56.379356,369.502758,56.61,-160.9787138
"99",201807,1,20180608165224,"PK1",680.794148,-160.9792236,56.371067,370.000737,55.74,-160.9792236
"100",201807,1,20180608165447,"PK1",865.888425,-160.979908,56.3627028,370.503142,55.15,-160.979908
"101",201807,1,20180608165710,"PK1",297.246282,-160.9806585,56.3544102,371.00114,54.36,-160.9806585
"102",201807,1,20180608165932,"PK1",293.128199,-160.9814498,56.3460562,371.502781,53.64,-160.9814498
"103",201807,1,20180608170154,"PK1",306.601363,-160.9820953,56.3377277,372.003064,53.05,-160.9820953
"104",201807,1,20180608170417,"PK1",401.299205,-160.9827121,56.3294439,372.500113,52.31,-160.9827121
"105",201807,1,20180608170642,"PK1",61.695085,-160.9835845,56.321062,373.003187,51.35,-160.9835845
"106",201807,1,20180608170904,"PK1",586.877631,-160.984591,56.3127783,373.501359,50.53,-160.984591
"107",201807,1,20180608171128,"PK1",626.748174,-160.9854422,56.3044217,374.002821,49.82,-160.9854422
"108",201807,1,20180608171350,"PK1",322.053088,-160.9859633,56.2960878,374.502418,49.55,-160.9859633
"109",201807,1,20180608171614,"PK1",139.619669,-160.9862533,56.2877243,375.003349,49.75,-160.9862533
"110",201807,1,20180608171835,"PK1",244.375446,-160.9863536,56.279407,375.502304,49.28,-160.9863536
"111",201807,1,20180608172059,"PK1",92.849702,-160.9864728,56.2710385,376.003273,47.84,-160.9864728
"112",201807,1,20180608172323,"PK1",185.061145,-160.9868413,56.2627279,376.502005,45.97,-160.9868413
"113",201807,1,20180608172548,"PK1",121.405205,-160.9876604,56.2544099,377.001432,44.49,-160.9876604
"114",201807,1,20180608172814,"PK1",21.8775,-160.9883753,56.2460821,377.50134,43.43,-160.9883753
"115",201807,1,20180608173041,"PK1",1.750581,-160.9889142,56.2377223,378.002507,42.45,-160.9889142
"116",201807,1,20180608173306,"PK1",172.406019,-160.9894706,56.2293934,378.502368,41.29,-160.9894706
"117",201807,1,20180608173530,"PK1",100.259385,-160.9900838,56.2210788,379.000876,40.21,-160.9900838
"118",201807,2,20180608193436,"PK1",61.912517,-161.5954985,55.9978793,405.001601,31.82,-161.5954985
"119",201807,2,20180608193735,"PK1",475.900015,-161.5955662,56.0062339,405.502252,33.11,-161.5955662
"120",201807,2,20180608194013,"PK1",33.881134,-161.5947251,56.0145398,406.001463,32.78,-161.5947251
"121",201807,2,20180608194240,"PK1",65.935424,-161.5941779,56.0228669,406.501051,33.1,-161.5941779
"122",201807,2,20180608194506,"PK1",167.234367,-161.5935468,56.0311923,407.000608,34.17,-161.5935468
"123",201807,2,20180608194733,"PK1",15.415023,-161.5928189,56.0395356,407.501116,33.52,-161.5928189
"124",201807,2,20180608195000,"PK1",1.299607,-161.5920444,56.0478518,408.000316,36.43,-161.5920444
"125",201807,2,20180608195228,"PK1",22.326204,-161.5913533,56.0561906,408.500662,42.33,-161.5913533
"126",201807,2,20180608195455,"PK1",62.747815,-161.5908138,56.0645411,409.001346,45.29,-161.5908138
"127",201807,2,20180608195723,"PK1",17.828974,-161.5903133,56.0728665,409.50014,46.22,-161.5903133
"128",201807,2,20180608195950,"PK1",122.647342,-161.5896052,56.0812142,410.00079,46.38,-161.5896052
"129",201807,2,20180608200219,"PK1",133.814464,-161.5889476,56.0895658,410.50136,47.72,-161.5889476
"130",201807,2,20180608200447,"PK1",571.286885,-161.5884053,56.0979402,411.003381,48.59,-161.5884053
"131",201807,2,20180608200715,"PK1",136.610531,-161.587752,56.1062397,411.501358,49.05,-161.587752
"132",201807,2,20180608200941,"PK1",184.055613,-161.5873649,56.1146042,412.002085,50.06,-161.5873649
"133",201807,2,20180608201206,"PK1",192.314447,-161.5868984,56.122945,412.502247,51.51,-161.5868984
"134",201807,2,20180608201430,"PK1",217.475617,-161.5862568,56.131269,413.002122,53.22,-161.5862568
"135",201807,2,20180608201654,"PK1",224.428785,-161.5856185,56.1395719,413.50084,54.82,-161.5856185
"136",201807,2,20180608201920,"PK1",75.330256,-161.5848992,56.1479277,414.00248,55.76,-161.5848992
"137",201807,2,20180608202145,"PK1",191.858346,-161.5841902,56.1562571,414.503153,55.53,-161.5841902
"138",201807,2,20180608202409,"PK1",194.209086,-161.5834459,56.1645445,415.00092,54.82,-161.5834459
"139",201807,2,20180608202634,"PK1",273.075591,-161.5826559,56.1728684,415.501393,55.83,-161.5826559
"140",201807,2,20180608202859,"PK1",140.678433,-161.5818185,56.1811806,416.000655,55.76,-161.5818185
"141",201807,2,20180608203124,"PK1",173.968955,-161.5811408,56.1895472,416.502913,57.39,-161.5811408
"142",201807,2,20180608203348,"PK1",86.175091,-161.5804124,56.1978314,417.000025,58.8,-161.5804124
"143",201807,2,20180608203613,"PK1",53.80539,-161.5798083,56.2061942,417.50177,58.94,-161.5798083
"144",201807,2,20180608203840,"PK1",190.224975,-161.5791409,56.2144967,418.00001,59.4,-161.5791409
"145",201807,2,20180608204109,"PK1",211.103055,-161.578559,56.2228276,418.500827,59.72,-161.578559
"146",201807,2,20180608204338,"PK1",127.402582,-161.5782331,56.2311854,419.00111,61.14,-161.5782331
"147",201807,2,20180608204606,"PK1",194.2795,-161.5779104,56.2395368,419.501941,61.06,-161.5779104
"148",201807,2,20180608204832,"PK1",308.123417,-161.5775854,56.2478512,420.000175,61.11,-161.5775854
"149",201807,2,20180608205100,"PK1",366.048804,-161.5771196,56.256211,420.502018,61.05,-161.5771196
"150",201807,2,20180608205327,"PK1",253.646412,-161.5766962,56.264529,421.000755,61.96,-161.5766962
"151",201807,2,20180608205556,"PK1",287.939482,-161.5762008,56.272866,421.500555,61.72,-161.5762008
"152",201807,2,20180608205826,"PK1",269.084312,-161.5754443,56.2812262,422.002532,62.3,-161.5754443
"153",201807,2,20180608210055,"PK1",208.860575,-161.5746814,56.2895201,422.500427,62.35,-161.5746814
"154",201807,2,20180608210324,"PK1",178.673408,-161.5739694,56.2978674,423.00167,62.64,-161.5739694
"155",201807,2,20180608210552,"PK1",200.863562,-161.5733834,56.3062007,423.502064,62.75,-161.5733834
"156",201807,2,20180608210821,"PK1",179.053214,-161.5728407,56.3145112,424.000075,62.93,-161.5728407
"157",201807,2,20180608211049,"PK1",257.799546,-161.5723681,56.32289,424.502424,62.65,-161.5723681
"158",201807,2,20180608211317,"PK1",242.126031,-161.5716809,56.3311965,425.001868,63.09,-161.5716809
"159",201807,2,20180608211545,"PK1",283.41401,-161.5710381,56.3395278,425.502111,64.59,-161.5710381
"160",201807,2,20180608211814,"PK1",311.082581,-161.570382,56.347835,426.001436,67.1,-161.570382
"161",201807,2,20180608212043,"PK1",173.996537,-161.5699534,56.3561574,426.501054,69.18,-161.5699534
"162",201807,2,20180608212312,"PK1",90.194165,-161.5694368,56.3644925,427.001559,69.05,-161.5694368
"163",201807,2,20180608212541,"PK1",138.932447,-161.5689717,56.3728392,427.501302,68.1,-161.5689717
"164",201807,2,20180608212809,"PK1",125.301717,-161.5685211,56.3812035,428.002877,66.53,-161.5685211
"165",201807,2,20180608213037,"PK1",129.265359,-161.567845,56.389525,428.502819,66.25,-161.567845
"166",201807,2,20180608213305,"PK1",96.013355,-161.5671088,56.3978166,429.000436,65.11,-161.5671088
"167",201807,2,20180608213533,"PK1",147.85149,-161.5663016,56.4061723,429.50263,64.43,-161.5663016
"168",201807,2,20180608213801,"PK1",253.765071,-161.565795,56.4145125,430.003415,64.07,-161.565795
"169",201807,2,20180608214027,"PK1",53.45114,-161.5652547,56.4228095,430.500614,65,-161.5652547
"170",201807,2,20180608214255,"PK1",135.001601,-161.5646907,56.4311713,431.00089,66.16,-161.5646907
"171",201807,2,20180608214521,"PK1",239.257905,-161.5640876,56.4395265,431.501784,66.39,-161.5640876
"172",201807,2,20180608214748,"PK1",137.340571,-161.5634787,56.447873,432.002598,66.54,-161.5634787
"173",201807,2,20180608215013,"PK1",368.703051,-161.5628945,56.4561739,432.500025,65.84,-161.5628945
"174",201807,2,20180608215239,"PK1",414.028833,-161.5622825,56.4645352,433.001508,66.47,-161.5622825
"175",201807,2,20180608215505,"PK1",311.348111,-161.5616488,56.4728517,433.500828,66.6,-161.5616488
"176",201807,2,20180608215732,"PK1",159.784544,-161.5609129,56.4812238,434.003128,67.35,-161.5609129
"177",201807,2,20180608215957,"PK1",221.019058,-161.5602193,56.4895392,434.502887,67.42,-161.5602193
"178",201807,2,20180608220223,"PK1",157.577519,-161.5594796,56.497859,435.002407,65.09,-161.5594796
"179",201807,2,20180608220450,"PK1",138.296532,-161.558686,56.5061829,435.502315,65.72,-161.558686
"180",201807,2,20180608220716,"PK1",354.823532,-161.5578628,56.5145176,436.003125,76.23,-161.5578628
"181",201807,2,20180608220943,"PK1",269.072528,-161.557095,56.522835,436.502189,77.66,-161.557095
"182",201807,2,20180608221209,"PK1",241.528384,-161.5565062,56.5311604,437.001422,77.36,-161.5565062
"183",201807,2,20180608221434,"PK1",207.160035,-161.555854,56.5394885,437.501256,76.34,-161.555854
"184",201807,2,20180608221700,"PK1",715.426002,-161.555208,56.5478265,438.001087,72.38,-161.555208
"185",201807,2,20180608221925,"PK1",251.365208,-161.5545656,56.5561607,438.501775,67.05,-161.5545656
"186",201807,2,20180608222151,"PK1",318.509278,-161.5539675,56.5645135,439.002344,66.51,-161.5539675
"187",201807,2,20180608222415,"PK1",151.8368,-161.5533263,56.572816,439.500721,70.85,-161.5533263
"188",201807,2,20180608222642,"PK1",177.17021,-161.5529573,56.5811941,440.00338,74.95,-161.5529573
"189",201807,2,20180608222907,"PK1",268.21636,-161.5524077,56.5895185,440.502197,77.2,-161.5524077
