Column1,survey,vessel,event_id,latitude,longitude
1,200801,88,2,57.03832,-159.1275
2,200801,88,3,57.3324,-159.0623
3,200801,88,4,57.64584,-159.0096
4,200801,88,5,58.35349,-159.5589
5,200801,88,6,58.28404,-159.97099
6,200801,88,7,58.00265,-160.2088
7,200801,88,8,57.69051,-160.27589
8,200801,88,9,57.33759,-160.299
9,200801,88,10,57.01479,-160.3093
10,200801,88,11,56.6688,-160.981
11,200801,88,12,56.35193,-160.98669
12,200801,88,14,56.33262,-161.63651
13,200801,88,15,56.66586,-161.5979
14,200801,88,16,56.98743,-161.5667
15,200801,88,17,57.33303,-161.5329
16,200801,88,18,57.66014,-161.49541
17,200801,88,22,57.93048,-161.44099
18,200801,88,23,57.67538,-162.1291
19,200801,88,24,57.668,-162.73801
20,200801,88,25,57.34064,-162.7529
21,200801,88,26,56.99971,-162.78081
22,200801,88,27,56.66885,-163.39391
23,200801,88,28,56.66316,-162.8293
24,200801,88,29,56.34223,-162.7975
25,200801,88,30,55.99794,-162.8027
26,200801,88,31,55.67397,-162.80949
27,200801,88,33,55.69099,-164.0056
28,200801,88,34,56.00346,-163.939
29,200801,88,36,56.33583,-163.96899
30,200801,88,37,56.66133,-164.0162
31,200801,88,38,56.99553,-164.03951
32,200801,88,39,57.01626,-163.4584
33,200801,88,40,57.31518,-163.3871
34,200801,88,41,57.65812,-163.355
35,200801,88,42,57.98102,-163.3988
36,200801,88,43,58.01095,-162.78819
37,200801,88,44,58.32833,-162.7529
38,200801,88,45,58.33082,-163.3116
39,200801,88,46,58.63895,-162.7108
40,200801,88,47,58.66331,-163.2963
41,200801,88,49,59.32317,-164.0085
42,200801,88,50,59.02318,-164.00681
43,200801,88,51,58.67667,-164.0125
44,200801,88,52,58.33034,-164.0136
45,200801,88,53,58.01202,-164.02721
46,200801,88,54,57.67304,-164.0183
47,200801,88,55,57.33537,-165.2291
48,200801,88,56,57.00047,-165.2162
49,200801,88,57,56.6779,-165.2319
50,200801,88,58,56.35093,-165.19
51,200801,88,59,56.00996,-165.1882
52,200801,88,60,55.6707,-165.18179
53,200801,88,61,55.33485,-165.1754
54,200801,88,63,55.00264,-166.3717
55,200801,88,64,55.32466,-166.3438
56,200801,88,65,55.66301,-166.38429
57,200801,88,66,55.99413,-166.3813
58,200801,88,67,56.05137,-166.9753
59,200801,88,68,56.32646,-167.0352
60,200801,88,69,56.65296,-167.0623
61,200801,88,70,56.99564,-167.09081
62,200801,88,71,57.32374,-167.1147
63,200801,88,72,57.68218,-167.10381
64,200801,88,73,57.98549,-167.1618
65,200801,88,74,58.31633,-167.19341
66,200801,88,75,58.6525,-167.2195
67,200801,88,76,58.65773,-166.5822
68,200801,88,77,58.98701,-166.5761
69,200801,88,78,58.98509,-167.2399
70,200801,88,79,59.31136,-166.61121
71,200801,88,81,60.33307,-167.2863
72,200801,88,82,60.33371,-167.9454
73,200801,88,83,60.33313,-168.6566
74,200801,88,84,60.34188,-169.3172
75,200801,88,85,60.01501,-169.3291
76,200801,88,86,59.6832,-169.26421
77,200801,88,87,59.34935,-168.5704
78,200801,88,88,59.01987,-168.5285
79,200801,88,89,58.67697,-168.4948
80,200801,88,90,58.34636,-168.4846
81,200801,88,91,58.00689,-168.425
82,200801,88,92,57.85536,-168.7187
83,200801,88,93,57.67459,-168.3755
84,200801,88,94,57.50517,-168.72231
85,200801,88,95,57.33504,-168.3562
86,200801,88,96,57.1556,-168.6286
87,200801,88,97,57.32261,-168.9785
88,200801,88,98,57.65056,-169.02921
89,200801,88,99,57.50592,-169.3521
90,200801,88,100,57.10904,-170.451
91,200801,88,101,57.32542,-170.24451
92,200801,88,102,57.49517,-170.5818
93,200801,88,103,57.65701,-170.2861
94,200801,88,104,57.8195,-170.0157
95,200801,88,105,57.9883,-169.69991
96,200801,88,106,58.32962,-169.74001
97,200801,88,107,58.66147,-169.7832
98,200801,88,108,58.98541,-169.83611
99,200801,88,109,58.67661,-170.4294
100,200801,88,110,58.99007,-170.4839
101,200801,88,111,59.32693,-170.5334
102,200801,88,112,59.65613,-170.5769
103,200801,88,113,59.98323,-170.631
104,200801,88,114,60.00207,-171.2664
105,200801,88,115,60.01503,-171.9769
106,200801,88,116,59.99324,-172.608
107,200801,88,119,59.83481,-173.5876
108,200801,88,120,59.826,-172.9355
109,200801,88,121,59.68446,-173.2757
110,200801,88,122,59.51785,-172.90109
111,200801,88,123,59.50893,-173.5
112,200801,88,124,59.67789,-172.5677
113,200801,88,125,59.34304,-172.50661
114,200801,88,126,59.33878,-171.8499
115,200801,88,127,59.01114,-171.78529
116,200801,88,128,58.98815,-172.3931
117,200801,88,129,58.66871,-172.3943
118,200801,88,130,58.67469,-171.72121
119,200801,88,131,58.33262,-171.6308
120,200801,88,132,58.34248,-172.3042
121,200801,88,133,56.99983,-170.21651
122,200801,88,134,56.8356,-169.9364
123,200801,88,135,56.65863,-169.4875
124,200801,88,137,56.84172,-169.30141
125,200801,88,138,56.67195,-168.9099
126,200801,88,139,56.83758,-168.6321
127,200801,88,141,56.66679,-168.30949
128,200801,88,144,54.99107,-166.95081
129,200801,88,146,55.32855,-166.9669
130,200801,88,147,55.66115,-166.9825
131,200801,88,148,55.99538,-167.6187
132,200801,88,149,56.68252,-167.67039
133,200801,88,150,56.34586,-167.65559
134,200801,88,151,56.33395,-168.2119
135,200801,88,152,56.33415,-168.84911
136,200801,88,153,56.962,-172.03999
137,200801,88,154,56.67138,-171.9845
