survey,ship,haul_id,class,species_code,primary_length,ts_length,ts_relationship,catch_sampling_expansion,user_defined_expansion,sample_correction_scalar,haul_weight,w
200809,157,MACE-1-5,PK1,21740,63.0,63.0,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,59.0,59.0,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,68.0,68.0,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,57.0,57.0,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,63.0,63.0,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,55.0,55.0,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,61.6,61.6,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,50.7,50.7,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,62.1,62.1,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,57.0,57.0,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,55.2,55.2,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,64.2,64.2,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,54.6,54.6,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,62.5,62.5,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,57.2,57.2,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,56.6,56.6,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,61.1,61.1,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,55.4,55.4,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,56.1,56.1,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,64.0,64.0,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,55.5,55.5,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,53.8,53.8,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,63.4,63.4,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,59.9,59.9,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,55.8,55.8,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,57.8,57.8,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,54.4,54.4,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,64.3,64.3,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,57.5,57.5,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,57.5,57.5,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,64.7,64.7,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,57.3,57.3,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,63.5,63.5,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,59.8,59.8,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,63.3,63.3,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,57.3,57.3,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,64.4,64.4,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,58.5,58.5,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,69.0,69.0,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,54.9,54.9,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,58.7,58.7,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,62.9,62.9,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,52.4,52.4,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,59.9,59.9,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,62.4,62.4,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,59.0,59.0,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,56.4,56.4,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,58.1,58.1,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,64.4,64.4,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,59.8,59.8,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,58.8,58.8,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,55.9,55.9,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,59.9,59.9,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,53.5,53.5,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,54.0,54.0,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,55.1,55.1,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,70.3,70.3,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,62.3,62.3,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,60.6,60.6,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,65.2,65.2,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,52.8,52.8,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,63.0,63.0,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,61.9,61.9,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,60.0,60.0,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,52.9,52.9,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,58.7,58.7,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,54.6,54.6,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,54.0,54.0,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,60.5,60.5,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,55.9,55.9,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,62.5,62.5,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,60.6,60.6,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,58.9,58.9,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,55.4,55.4,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,58.4,58.4,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,64.9,64.9,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,59.2,59.2,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,63.6,63.6,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,64.3,64.3,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,63.9,63.9,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,61.8,61.8,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,58.1,58.1,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,63.0,63.0,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,59.6,59.6,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,60.0,60.0,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,56.2,56.2,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,58.5,58.5,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,60.4,60.4,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,55.6,55.6,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,55.4,55.4,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,59.3,59.3,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,54.9,54.9,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,53.4,53.4,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,60.3,60.3,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,54.6,54.6,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,54.6,54.6,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,60.9,60.9,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,61.6,61.6,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,68.1,68.1,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,55.9,55.9,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,67.3,67.3,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,61.6,61.6,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,55.7,55.7,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,54.7,54.7,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,56.9,56.9,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,57.3,57.3,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,56.0,56.0,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,56.8,56.8,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,64.3,64.3,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,57.7,57.7,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,61.5,61.5,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,52.6,52.6,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,60.0,60.0,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,61.8,61.8,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,58.4,58.4,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,55.1,55.1,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,56.3,56.3,standard_pollock,1.0,1.0,1.0,1.0,1.0
200809,157,MACE-1-5,PK1,21740,58.8,58.8,standard_pollock,1.0,1.0,1.0,1.0,1.0
