Column1,survey,event_id,latitude,longitude,lla,utm,x,y
1,200809,1,56.11297833,-162.16113,"LLA(lat=56.11297833°, lon=-162.16113°, alt=0.0)","UTM(676509.9601411407, 6.222285144204648e6, 0.0)",676.5099601411407,6222.2851442046485
2,200809,2,56.64410167,-163.32874333,"LLA(lat=56.64410167°, lon=-163.32874333°, alt=0.0)","UTM(602486.7202120548, 6.279018750485057e6, 0.0)",602.4867202120548,6279.018750485057
3,200809,3,56.64385833,-163.32686167,"LLA(lat=56.64385833°, lon=-163.32686167°, alt=0.0)","UTM(602602.7573177326, 6.278994482538227e6, 0.0)",602.6027573177325,6278.994482538227
4,200809,4,55.568455,-163.34940667,"LLA(lat=55.568455°, lon=-163.34940667°, alt=0.0)","UTM(604082.8527310335, 6.159288197052746e6, 0.0)",604.0828527310334,6159.288197052746
5,200809,5,55.49545667,-163.34912,"LLA(lat=55.49545667°, lon=-163.34912°, alt=0.0)","UTM(604293.9346550315, 6.15116594339758e6, 0.0)",604.2939346550315,6151.16594339758
6,200809,6,55.76908333,-164.15520333,"LLA(lat=55.76908333°, lon=-164.15520333°, alt=0.0)","UTM(553001.1391075888, 6.1807027343705585e6, 0.0)",553.0011391075888,6180.702734370559
7,200809,7,56.18336,-164.53350067,"LLA(lat=56.18336°, lon=-164.53350067°, alt=0.0)","UTM(528956.521521979, 6.226585303163774e6, 0.0)",528.956521521979,6226.585303163774
8,200809,8,55.76644333,-164.60871,"LLA(lat=55.76644333°, lon=-164.60871°, alt=0.0)","UTM(524550.7993161818, 6.180155167454665e6, 0.0)",524.5507993161818,6180.1551674546645
9,200809,9,55.34504167,-164.52038,"LLA(lat=55.34504167°, lon=-164.52038°, alt=0.0)","UTM(530416.6171797252, 6.133293130950697e6, 0.0)",530.4166171797252,6133.293130950697
10,200809,10,55.040045,-165.10384333,"LLA(lat=55.040045°, lon=-165.10384333°, alt=0.0)","UTM(493363.91333813366, 6.0992525318466555e6, 0.0)",493.36391333813367,6099.252531846656
11,200809,11,55.038815,-165.097765,"LLA(lat=55.038815°, lon=-165.097765°, alt=0.0)","UTM(493752.15622829646, 6.099115097770479e6, 0.0)",493.7521562282965,6099.115097770478
12,200809,12,55.03258167,-165.097675,"LLA(lat=55.03258167°, lon=-165.097675°, alt=0.0)","UTM(493756.93877401925, 6.0984214472469995e6, 0.0)",493.75693877401926,6098.421447246999
13,200809,13,55.979275,-165.13180333,"LLA(lat=55.979275°, lon=-165.13180333°, alt=0.0)","UTM(491775.3185994301, 6.2037807956012925e6, 0.0)",491.7753185994301,6203.780795601292
14,200809,14,56.34908667,-165.13971833,"LLA(lat=56.34908667°, lon=-165.13971833°, alt=0.0)","UTM(491364.7853498126, 6.244941857847008e6, 0.0)",491.36478534981256,6244.941857847008
15,200809,15,54.65110167,-165.675015,"LLA(lat=54.65110167°, lon=-165.675015°, alt=0.0)","UTM(456446.73986471875, 6.056176747652045e6, 0.0)",456.4467398647188,6056.176747652045
16,200809,16,54.49353,-165.72059667,"LLA(lat=54.49353°, lon=-165.72059667°, alt=0.0)","UTM(453326.08512421494, 6.038673243564189e6, 0.0)",453.32608512421496,6038.67324356419
17,200809,18,57.448745,-166.39134,"LLA(lat=57.448745°, lon=-166.39134°, alt=0.0)","UTM(416502.4319299426, 6.368194531278716e6, 0.0)",416.50243192994265,6368.194531278717
18,200809,19,55.40731333,-167.51851667,"LLA(lat=55.40731333°, lon=-167.51851667°, alt=0.0)","UTM(340548.54860691156, 6.143004031854698e6, 0.0)",340.54854860691154,6143.004031854698
19,200809,20,55.40121167,-167.49896167,"LLA(lat=55.40121167°, lon=-167.49896167°, alt=0.0)","UTM(341761.9414158944, 6.14228058508907e6, 0.0)",341.76194141589446,6142.28058508907
20,200809,21,56.65011667,-167.60648333,"LLA(lat=56.65011667°, lon=-167.60648333°, alt=0.0)","UTM(340200.51498147997, 6.281476716745689e6, 0.0)",340.20051498147996,6281.4767167456885
21,200809,22,56.577295,-168.21792667,"LLA(lat=56.577295°, lon=-168.21792667°, alt=0.0)","UTM(302347.6985252909, 6.274968479583919e6, 0.0)",302.34769852529087,6274.968479583919
22,200809,17,54.664295,-166.27735167,"LLA(lat=54.664295°, lon=-166.27735167°, alt=0.0)","UTM(417611.14754237887, 6.058184795061819e6, 0.0)",417.6111475423789,6058.184795061819
23,200809,64,59.37998,-175.73821333,"LLA(lat=59.37998°, lon=-175.73821333°, alt=0.0)","UTM(-108391.13410414092, 6.631645680709838e6, 0.0)",-108.39113410414092,6631.6456807098375
24,200809,65,59.60094,-175.79441333,"LLA(lat=59.60094°, lon=-175.79441333°, alt=0.0)","UTM(-107550.19062537025, 6.656554887100853e6, 0.0)",-107.55019062537025,6656.554887100853
25,200809,66,59.97256667,-175.92104333,"LLA(lat=59.97256667°, lon=-175.92104333°, alt=0.0)","UTM(-107796.66833393264, 6.698736299210835e6, 0.0)",-107.79666833393264,6698.736299210836
26,200809,67,60.317775,-176.01563167,"LLA(lat=60.317775°, lon=-176.01563167°, alt=0.0)","UTM(-106598.43782804045, 6.737696462130481e6, 0.0)",-106.59843782804045,6737.696462130481
27,200809,68,60.668495,-176.12321333,"LLA(lat=60.668495°, lon=-176.12321333°, alt=0.0)","UTM(-105865.8728557697, 6.7773743244303735e6, 0.0)",-105.86587285576971,6777.374324430373
28,200809,69,60.85842,-176.189675,"LLA(lat=60.85842°, lon=-176.189675°, alt=0.0)","UTM(-105846.90961472655, 6.798932627898695e6, 0.0)",-105.84690961472656,6798.932627898695
29,200809,70,60.86496833,-176.17421167,"LLA(lat=60.86496833°, lon=-176.17421167°, alt=0.0)","UTM(-104890.79909438873, 6.799511029409155e6, 0.0)",-104.89079909438873,6799.5110294091555
30,200809,71,61.01147833,-176.90424167,"LLA(lat=61.01147833°, lon=-176.90424167°, alt=0.0)","UTM(-141141.00329111097, 6.8226357526785275e6, 0.0)",-141.14100329111096,6822.635752678528
31,200809,23,55.72929833,-168.39801667,"LLA(lat=55.72929833°, lon=-168.39801667°, alt=0.0)","UTM(286639.93863135326, 6.181182807693093e6, 0.0)",286.63993863135323,6181.182807693093
32,200809,24,56.502365,-168.81578333,"LLA(lat=56.502365°, lon=-168.81578333°, alt=0.0)","UTM(265182.02671563433, 6.268518128789466e6, 0.0)",265.1820267156343,6268.518128789466
33,200809,25,56.60770833,-170.16418833,"LLA(lat=56.60770833°, lon=-170.16418833°, alt=0.0)","UTM(183162.5036691969, 6.285653757827265e6, 0.0)",183.16250366919692,6285.6537578272655
34,200809,26,56.723715,-170.0607,"LLA(lat=56.723715°, lon=-170.0607°, alt=0.0)","UTM(190459.08629173326, 6.298072584637936e6, 0.0)",190.45908629173326,6298.072584637936
35,200809,27,57.52492,-170.18819667,"LLA(lat=57.52492°, lon=-170.18819667°, alt=0.0)","UTM(189458.88206695317, 6.387694148838088e6, 0.0)",189.45888206695318,6387.694148838088
36,200809,28,56.18714167,-170.594815,"LLA(lat=56.18714167°, lon=-170.594815°, alt=0.0)","UTM(152962.10426944558, 6.241004343926079e6, 0.0)",152.96210426944558,6241.004343926079
37,200809,29,56.25927667,-170.61079,"LLA(lat=56.25927667°, lon=-170.61079°, alt=0.0)","UTM(152626.8255590147, 6.249098970656229e6, 0.0)",152.6268255590147,6249.0989706562295
38,200809,30,56.525085,-171.25893167,"LLA(lat=56.525085°, lon=-171.25893167°, alt=0.0)","UTM(115253.8666916273, 6.282079659036601e6, 0.0)",115.25386669162731,6282.079659036601
39,200809,31,57.02809833,-171.34751,"LLA(lat=57.02809833°, lon=-171.34751°, alt=0.0)","UTM(115015.09173552366, 6.338433523640994e6, 0.0)",115.01509173552365,6338.433523640994
40,200809,72,60.72851833,-176.82454167,"LLA(lat=60.72851833°, lon=-176.82454167°, alt=0.0)","UTM(-142579.88927422836, 6.790694813419541e6, 0.0)",-142.57988927422838,6790.694813419542
