specimen_id,species_code,event_id,organism_weight,fork_length
16609,21740,96,0.03,16.0
16610,21740,96,0.042,18.0
16611,21740,96,0.026,15.0
16612,21740,96,0.022,15.0
16613,21740,96,0.018,14.0
16614,21740,96,0.02,15.0
16615,21740,96,0.02,14.0
16616,21740,96,0.016,13.0
16617,21740,96,0.014,13.0
16618,21740,96,0.038,17.0
16619,21740,96,0.018,14.0
16620,21740,96,0.014,13.0
16621,21740,96,0.03,17.0
16622,21740,96,0.024,15.0
16623,21740,96,0.022,15.0
16624,21740,96,0.024,15.0
16625,21740,96,0.014,13.0
16626,21740,96,0.016,13.0
16627,21740,96,0.028,15.0
16628,21740,96,0.016,13.0
16629,21740,96,0.012,12.0
16655,21740,96,0.264,33.0
16656,21740,96,0.424,39.0
17678,21740,99,0.276,34.0
17679,21740,99,0.496,43.0
17680,21740,99,0.502,41.0
17681,21740,99,0.462,41.0
17682,21740,99,0.454,40.0
17683,21740,99,0.462,41.0
17684,21740,99,0.296,34.0
17685,21740,99,0.494,41.0
17686,21740,99,0.45,39.0
17687,21740,99,0.57,45.0
17688,21740,99,0.264,32.0
17689,21740,99,0.38,37.0
17690,21740,99,0.396,39.0
17691,21740,99,0.314,36.0
17692,21740,99,0.53,42.0
17693,21740,99,0.552,43.0
17694,21740,99,0.392,37.0
17695,21740,99,0.468,44.0
17696,21740,99,0.33,37.0
17697,21740,99,0.42,41.0
17716,21740,99,0.312,35.0
17717,21740,99,0.516,40.0
17718,21740,99,0.418,39.0
27984,21740,129,0.568,44.0
27985,21740,129,0.664,49.0
27986,21740,129,0.704,49.0
27987,21740,129,0.56,44.0
27988,21740,129,0.59,45.0
27989,21740,129,0.41,40.0
25010,21740,116,0.018,14.0
25011,21740,116,0.02,14.0
25012,21740,116,0.052,20.0
25013,21740,116,0.02,14.0
25014,21740,116,0.02,15.0
25015,21740,116,0.016,13.0
25016,21740,116,0.024,15.0
25017,21740,116,0.02,14.0
25018,21740,116,0.014,13.0
25019,21740,116,0.016,14.0
25020,21740,116,0.028,15.0
25021,21740,116,0.024,15.0
25022,21740,116,0.02,14.0
25023,21740,116,0.018,14.0
25024,21740,116,0.026,16.0
25025,21740,116,0.014,13.0
25026,21740,116,0.016,13.0
