"","survey","event_id","EQLongitude","EQLatitude"
"1",200707,97,"-176.53566667","60.18787"
"2",200707,98,"-176.40550333","59.754355"
"3",200707,99,"-176.40790333","59.74363667"
"4",200707,100,"-176.935185","59.364525"
"5",200707,101,"-177.15661333","59.97264667"
"6",200707,102,"-177.176925","60.037855"
"7",200707,103,"-177.17150333","60.02585333"
"8",200707,104,"-176.60982667","60.35279"
"9",200707,105,"-176.60711667","60.33107"
"10",200707,106,"-176.60812333","60.31630833"
"11",200707,83,"-171.87180833","56.99017833"
"12",200707,84,"-171.87226167","56.98592667"
"13",200707,85,"-171.87256667","56.98244667"
"14",200707,86,"-171.86878","56.99510167"
"15",200707,87,"-171.86748333","56.98961667"
"16",200707,88,"-171.86682333","56.986395"
"17",200707,89,"-175.66534833","59.48317"
"18",200707,90,"-175.76311","59.789665"
"19",200707,91,"-175.82640333","60.115825"
"20",200707,92,"-176.08065667","60.79740833"
"21",200707,93,"-177.00039667","61.58883167"
"22",200707,94,"-176.91962167","61.25485167"
"23",200707,95,"-176.81434833","61.00518667"
"24",200707,96,"-176.605935","60.32333667"
"25",200707,77,"-171.86598","56.988915"
"26",200707,78,"-171.86588167","56.98429667"
"27",200707,79,"-171.86568833","56.98179667"
"28",200707,80,"-171.86372167","56.98251667"
"29",200707,81,"-171.86352","56.98004667"
"30",200707,82,"-171.863325","56.97560667"
"31",200707,8,"-164.490725","56.62068333"
"32",200707,9,"-164.432615","55.22377333"
"33",200707,10,"-165.025425","54.93278833"
"34",200707,11,"-165.02097833","54.89681333"
"35",200707,12,"-165.04222667","56.41682167"
"36",200707,13,"-165.62468833","56.40734667"
"37",200707,14,"-165.60850167","55.13856667"
"38",200707,15,"-165.59376","54.82829333"
"39",200707,16,"-165.58260167","54.581895"
"40",200707,17,"-166.19324333","55.535865"
"41",200707,18,"-166.194955","55.53573333"
"42",200707,19,"-166.25251","56.38053667"
"43",200707,20,"-166.19762","56.37202833"
"44",200707,21,"-166.84597667","56.54618833"
"45",200707,22,"-166.70207667","54.635955"
"46",200707,23,"-167.43510833","55.80533167"
"47",200707,24,"-167.50674833","56.50248"
"48",200707,25,"-168.14197333","56.80840667"
"49",200707,26,"-168.124005","56.42252333"
"50",200707,27,"-168.37178","55.36864167"
"51",200707,28,"-168.39699167","55.36187"
"52",200707,29,"-168.418135","55.35666517"
"53",200707,30,"-168.641035","55.77819"
"54",200707,31,"-168.61893667","55.73293833"
"55",200707,32,"-168.71597333","56.46751667"
"56",200707,33,"-168.76518333","56.91302833"
"57",200707,34,"-169.38338333","56.77412667"
"58",200707,35,"-170.531565","56.32062"
"59",200707,36,"-170.56848833","56.33488"
"60",200707,37,"-170.61771333","56.77723833"
"61",200707,38,"-170.61199167","56.77376"
"62",200707,39,"-170.63318","56.78529667"
"63",200707,42,"-171.27860333","57.07994833"
"64",200707,43,"-171.96265833","57.49904167"
"65",200707,44,"-171.96116833","57.43376833"
"66",200707,45,"-171.97479333","57.420765"
"67",200707,46,"-171.90131","57.078365"
"68",200707,40,"-169.9385","56.4153"
"69",200707,41,"-170.561765","56.46809333"
"70",200707,47,"-171.88169833","57.01388167"
"71",200707,48,"-171.8616","56.835755"
"72",200707,55,"-173.71513333","59.61817"
"73",200707,56,"-173.51354833","58.79262667"
"74",200707,58,"-173.44818833","58.49168"
"75",200707,59,"-173.357055","58.091435"
"76",200707,57,"-173.51020833","58.80827667"
"77",200707,60,"-173.24365333","57.519365"
"78",200707,61,"-173.08876333","56.925955"
"79",200707,49,"-171.89791167","56.83568667"
"80",200707,50,"-172.49044","56.997185"
"81",200707,51,"-172.57078333","57.37639333"
"82",200707,52,"-173.07689667","59.57067333"
"83",200707,53,"-174.0031","60.793425"
"84",200707,54,"-173.95752833","60.80637667"
"85",200707,62,"-174.0149","58.20448"
"86",200707,63,"-174.14778167","58.73955833"
"87",200707,64,"-174.23752333","59.09485333"
"88",200707,65,"-174.34208167","59.50680167"
"89",200707,66,"-174.78043","61.115955"
"90",200707,67,"-175.46296833","61.08852333"
"91",200707,1,"-161.72170333","56.41528667"
"92",200707,2,"-163.28498","56.16271333"
"93",200707,3,"-163.85878667","55.47132333"
"94",200707,4,"-163.89538333","55.280755"
"95",200707,5,"-164.048675","56.87593"
"96",200707,6,"-164.446605","56.553725"
"97",200707,7,"-164.45480333","56.54734833"
"98",200707,68,"-175.23945333","60.31665667"
"99",200707,69,"-175.19134667","60.1532"
"100",200707,70,"-175.18695333","60.139435"
"101",200707,71,"-175.18919833","60.14691667"
"102",200707,72,"-175.11921667","59.908125"
"103",200707,73,"-175.01655","59.54734667"
"104",200707,74,"-174.83157333","58.88106167"
"105",200707,75,"-174.49028667","58.54671"
"106",200707,76,"-174.48480833","58.55663667"
"107",200707,107,"-176.60866667","60.31034"
"108",200707,108,"-176.61185333","60.32798"
"109",200707,109,"-176.61330333","60.33160167"
"110",200707,110,"-176.60221667","60.33656667"
"111",200707,111,"-176.77285167","60.21333167"
"112",200707,112,"-177.28071833","60.38601667"
"113",200707,113,"-177.38858","60.522985"
"114",200707,114,"-177.27961333","60.53606333"
"115",200707,115,"-177.47453","60.84795333"
"116",200707,116,"-177.58921667","61.18696833"
"117",200707,117,"-178.60122","61.92434"
"118",200707,118,"-178.43386667","61.53522333"
"119",200707,119,"-178.29137667","61.19326667"
"120",200707,120,"-178.03727333","60.540035"
"121",200707,121,"-177.916195","60.26828167"
"122",200707,122,"-177.84803167","60.10226333"
"123",200707,123,"-177.87458","60.140775"
"124",200707,124,"-177.57701","59.34155833"
"125",200707,125,"-178.36125","59.66926333"
"126",200707,126,"-178.05600333","59.86784167"
"127",200707,127,"-178.71984167","60.527255"
"128",200707,128,"-179.186455","61.65350667"
"129",200707,129,"179.70427","60.96546667"
"130",200707,130,"-176.62880167","60.31043667"
"131",200707,131,"-176.39089667","59.72821833"
"132",200707,132,"-176.379825","59.731445"
"133",200707,133,"-176.37586333","59.73308833"
"134",200707,134,"-176.42053333","59.71988"
"135",200707,135,"-176.41022333","59.72476833"
"136",200707,136,"-176.38901833","59.72763667"
