x,y
420.0,6007.0
430.0,6007.0
410.0,6017.0
420.0,6017.0
430.0,6017.0
440.0,6017.0
400.0,6027.0
410.0,6027.0
420.0,6027.0
430.0,6027.0
440.0,6027.0
450.0,6027.0
460.0,6027.0
390.0,6037.0
400.0,6037.0
410.0,6037.0
420.0,6037.0
430.0,6037.0
440.0,6037.0
450.0,6037.0
460.0,6037.0
470.0,6037.0
380.0,6047.0
390.0,6047.0
400.0,6047.0
410.0,6047.0
420.0,6047.0
430.0,6047.0
440.0,6047.0
450.0,6047.0
460.0,6047.0
470.0,6047.0
480.0,6047.0
370.0,6057.0
380.0,6057.0
390.0,6057.0
400.0,6057.0
410.0,6057.0
420.0,6057.0
430.0,6057.0
440.0,6057.0
450.0,6057.0
460.0,6057.0
470.0,6057.0
480.0,6057.0
490.0,6057.0
500.0,6057.0
360.0,6067.0
370.0,6067.0
380.0,6067.0
390.0,6067.0
400.0,6067.0
410.0,6067.0
420.0,6067.0
430.0,6067.0
440.0,6067.0
450.0,6067.0
460.0,6067.0
470.0,6067.0
480.0,6067.0
490.0,6067.0
500.0,6067.0
510.0,6067.0
350.0,6077.0
360.0,6077.0
370.0,6077.0
380.0,6077.0
390.0,6077.0
400.0,6077.0
410.0,6077.0
420.0,6077.0
430.0,6077.0
440.0,6077.0
450.0,6077.0
460.0,6077.0
470.0,6077.0
480.0,6077.0
490.0,6077.0
500.0,6077.0
510.0,6077.0
520.0,6077.0
340.0,6087.0
350.0,6087.0
360.0,6087.0
370.0,6087.0
380.0,6087.0
390.0,6087.0
400.0,6087.0
410.0,6087.0
420.0,6087.0
430.0,6087.0
440.0,6087.0
450.0,6087.0
460.0,6087.0
470.0,6087.0
480.0,6087.0
490.0,6087.0
500.0,6087.0
510.0,6087.0
520.0,6087.0
530.0,6087.0
540.0,6087.0
330.0,6097.0
340.0,6097.0
350.0,6097.0
360.0,6097.0
370.0,6097.0
380.0,6097.0
390.0,6097.0
400.0,6097.0
410.0,6097.0
420.0,6097.0
430.0,6097.0
440.0,6097.0
450.0,6097.0
460.0,6097.0
470.0,6097.0
480.0,6097.0
490.0,6097.0
500.0,6097.0
510.0,6097.0
520.0,6097.0
530.0,6097.0
540.0,6097.0
550.0,6097.0
310.0,6107.0
320.0,6107.0
330.0,6107.0
340.0,6107.0
350.0,6107.0
360.0,6107.0
370.0,6107.0
380.0,6107.0
390.0,6107.0
400.0,6107.0
410.0,6107.0
420.0,6107.0
430.0,6107.0
440.0,6107.0
450.0,6107.0
460.0,6107.0
470.0,6107.0
480.0,6107.0
490.0,6107.0
500.0,6107.0
510.0,6107.0
520.0,6107.0
530.0,6107.0
540.0,6107.0
550.0,6107.0
560.0,6107.0
300.0,6117.0
310.0,6117.0
320.0,6117.0
330.0,6117.0
340.0,6117.0
350.0,6117.0
360.0,6117.0
370.0,6117.0
380.0,6117.0
390.0,6117.0
400.0,6117.0
410.0,6117.0
420.0,6117.0
430.0,6117.0
440.0,6117.0
450.0,6117.0
460.0,6117.0
470.0,6117.0
480.0,6117.0
490.0,6117.0
500.0,6117.0
510.0,6117.0
520.0,6117.0
530.0,6117.0
540.0,6117.0
550.0,6117.0
560.0,6117.0
570.0,6117.0
580.0,6117.0
290.0,6127.0
300.0,6127.0
310.0,6127.0
320.0,6127.0
330.0,6127.0
340.0,6127.0
350.0,6127.0
360.0,6127.0
370.0,6127.0
380.0,6127.0
390.0,6127.0
400.0,6127.0
410.0,6127.0
420.0,6127.0
430.0,6127.0
440.0,6127.0
450.0,6127.0
460.0,6127.0
470.0,6127.0
480.0,6127.0
490.0,6127.0
500.0,6127.0
510.0,6127.0
520.0,6127.0
530.0,6127.0
540.0,6127.0
550.0,6127.0
560.0,6127.0
570.0,6127.0
580.0,6127.0
590.0,6127.0
280.0,6137.0
290.0,6137.0
300.0,6137.0
310.0,6137.0
320.0,6137.0
330.0,6137.0
340.0,6137.0
350.0,6137.0
360.0,6137.0
370.0,6137.0
380.0,6137.0
390.0,6137.0
400.0,6137.0
410.0,6137.0
420.0,6137.0
430.0,6137.0
440.0,6137.0
450.0,6137.0
460.0,6137.0
470.0,6137.0
480.0,6137.0
490.0,6137.0
500.0,6137.0
510.0,6137.0
520.0,6137.0
530.0,6137.0
540.0,6137.0
550.0,6137.0
560.0,6137.0
570.0,6137.0
580.0,6137.0
590.0,6137.0
600.0,6137.0
270.0,6147.0
280.0,6147.0
290.0,6147.0
300.0,6147.0
310.0,6147.0
320.0,6147.0
330.0,6147.0
340.0,6147.0
350.0,6147.0
360.0,6147.0
370.0,6147.0
380.0,6147.0
390.0,6147.0
400.0,6147.0
410.0,6147.0
420.0,6147.0
430.0,6147.0
440.0,6147.0
450.0,6147.0
460.0,6147.0
470.0,6147.0
480.0,6147.0
490.0,6147.0
500.0,6147.0
510.0,6147.0
520.0,6147.0
530.0,6147.0
540.0,6147.0
550.0,6147.0
560.0,6147.0
570.0,6147.0
580.0,6147.0
590.0,6147.0
600.0,6147.0
610.0,6147.0
260.0,6157.0
270.0,6157.0
280.0,6157.0
290.0,6157.0
300.0,6157.0
310.0,6157.0
320.0,6157.0
330.0,6157.0
340.0,6157.0
350.0,6157.0
360.0,6157.0
370.0,6157.0
380.0,6157.0
390.0,6157.0
400.0,6157.0
410.0,6157.0
420.0,6157.0
430.0,6157.0
440.0,6157.0
450.0,6157.0
460.0,6157.0
470.0,6157.0
480.0,6157.0
490.0,6157.0
500.0,6157.0
510.0,6157.0
520.0,6157.0
530.0,6157.0
540.0,6157.0
550.0,6157.0
560.0,6157.0
570.0,6157.0
580.0,6157.0
590.0,6157.0
600.0,6157.0
610.0,6157.0
240.0,6167.0
250.0,6167.0
260.0,6167.0
270.0,6167.0
