ship,survey,event_id,species_code,specimen_id,fork_length,organism_weight,age,sex,eq_longitude
157,200707,3,21740,53,46.0,0.634,6,Male,-163.8588
157,200707,3,21740,56,62.0,1.62,9,Female,-163.8588
157,200707,3,21740,57,58.0,1.55,12,Male,-163.8588
157,200707,3,21740,73,64.0,1.972,8,Male,-163.8588
157,200707,3,21740,62,54.0,1.234,11,Male,-163.8588
157,200707,3,21740,67,57.0,1.516,15,Male,-163.8588
157,200707,3,21740,69,53.0,0.854,9,Male,-163.8588
157,200707,3,21740,71,51.0,0.886,7,Female,-163.8588
157,200707,3,21740,74,57.0,1.404,11,Male,-163.8588
157,200707,3,21740,43,57.0,1.232,8,Male,-163.8588
157,200707,3,21740,44,60.0,1.716,8,Male,-163.8588
157,200707,3,21740,46,59.0,1.468,8,Female,-163.8588
157,200707,3,21740,49,51.0,0.978,5,Male,-163.8588
157,200707,3,21740,68,54.0,1.034,7,Female,-163.8588
157,200707,3,21740,72,65.0,1.908,12,Female,-163.8588
157,200707,3,21740,47,65.0,2.17,9,Female,-163.8588
157,200707,3,21740,54,58.0,1.126,8,Male,-163.8588
157,200707,3,21740,60,60.0,1.492,10,Male,-163.8588
157,200707,3,21740,65,57.0,1.0,9,Male,-163.8588
157,200707,3,21740,66,59.0,1.474,13,Male,-163.8588
157,200707,3,21740,70,56.0,1.256,11,Male,-163.8588
157,200707,3,21740,45,49.0,0.668,4,Female,-163.8588
157,200707,3,21740,50,63.0,1.826,8,Female,-163.8588
157,200707,3,21740,42,51.0,0.86,8,Male,-163.8588
157,200707,3,21740,48,61.0,1.44,9,Female,-163.8588
157,200707,3,21740,51,60.0,1.5,14,Male,-163.8588
157,200707,3,21740,55,50.0,0.866,7,Male,-163.8588
157,200707,3,21740,61,55.0,1.026,10,Male,-163.8588
157,200707,3,21740,63,56.0,0.928,8,Female,-163.8588
157,200707,3,21740,52,60.0,1.464,7,Female,-163.8588
