survey,haul_id,latitude,longitude,lla,utm,x,y
202207,MACE-1-30,60.87731,-174.857715,"LLA(lat=60.87731000°, lon=-174.857715000°, alt=0.0)","UTM(-33819.862591461627744, 6789384.5436667688, 0.0)",-33.81986259146163,6789.384543666769
202207,MACE-1-33,59.2925533333,-175.72934,"LLA(lat=59.29255333°, lon=-175.729340000°, alt=0.0)","UTM(-109464.539193438715301, 6621911.7401215741, 0.0)",-109.46453919343871,6621.911740121574
202207,MACE-1-34,59.026995,-175.651246667,"LLA(lat=59.02699500°, lon=-175.651246667°, alt=0.0)","UTM(-109788.983002947061323, 6591871.0004598266, 0.0)",-109.78898300294706,6591.871000459827
202207,MACE-1-35,58.6499266667,-176.819046667,"LLA(lat=58.64992667°, lon=-176.819046667°, alt=0.0)","UTM(-183654.804078160785139, 6561621.6815851005, 0.0)",-183.6548040781608,6561.6216815851
202207,MACE-1-22,57.6700166667,-172.752346667,"LLA(lat=57.67001667°, lon=-172.752346667°, alt=0.0)","UTM(38163.861571173882112, 6418437.3865801292, 0.0)",38.16386157117388,6418.437386580129
202207,MACE-1-23,57.4183233333,-172.6928,"LLA(lat=57.41832333°, lon=-172.692800000°, alt=0.0)","UTM(38520.626951011829078, 6390120.1994631784, 0.0)",38.52062695101183,6390.120199463178
202207,MACE-1-70,59.8332333333,-176.294998333,"LLA(lat=59.83323333°, lon=-176.294998333°, alt=0.0)","UTM(-131128.592524684616365, 6686886.3395419689, 0.0)",-131.12859252468462,6686.8863395419685
202207,MACE-1-71,59.0381016667,-174.788951667,"LLA(lat=59.03810167°, lon=-174.788951667°, alt=0.0)","UTM(-60480.962751114158891, 6585504.8593356470, 0.0)",-60.480962751114156,6585.504859335647
202207,MACE-1-73,57.5560916667,-172.143133333,"LLA(lat=57.55609167°, lon=-172.143133333°, alt=0.0)","UTM(73034.406772596761584, 6401797.2251006784, 0.0)",73.03440677259677,6401.797225100679
202207,MACE-1-75,57.0883633333,-171.322443333,"LLA(lat=57.08836333°, lon=-171.322443333°, alt=0.0)","UTM(117155.102875529846642, 6344983.8589464230, 0.0)",117.15510287552985,6344.983858946423
202207,MACE-1-4,56.1578716667,-165.19191,"LLA(lat=56.15787167°, lon=-165.191910000°, alt=0.0)","UTM(488079.837901295803022, 6223667.0832980750, 0.0)",488.0798379012958,6223.667083298075
202207,MACE-1-5,55.0010866667,-165.13937,"LLA(lat=55.00108667°, lon=-165.139370000°, alt=0.0)","UTM(491084.949693494651001, 6094921.2262013825, 0.0)",491.08494969349465,6094.9212262013825
202207,MACE-1-10,56.76146,-167.652056667,"LLA(lat=56.76146000°, lon=-167.652056667°, alt=0.0)","UTM(337886.911143934237771, 6293972.2228799956, 0.0)",337.88691114393424,6293.972222879996
202207,MACE-1-11,56.0934133333,-167.591691667,"LLA(lat=56.09341333°, lon=-167.591691667°, alt=0.0)","UTM(338772.695433448418044, 6219503.5149712339, 0.0)",338.7726954334484,6219.503514971234
202207,MACE-1-67,61.0671483333,-175.723593333,"LLA(lat=61.06714833°, lon=-175.723593333°, alt=0.0)","UTM(-76959.634098116075620, 6817723.7834773427, 0.0)",-76.95963409811607,6817.723783477342
202207,MACE-1-74,57.3092883333,-171.708545,"LLA(lat=57.30928833°, lon=-171.708545000°, alt=0.0)","UTM(96242.823105287505314, 6371744.4672734058, 0.0)",96.2428231052875,6371.7444672734055
202207,MACE-1-18,59.1574866667,-171.771891667,"LLA(lat=59.15748667°, lon=-171.771891667°, alt=0.0)","UTM(113146.180008575844113, 6577251.8496617097, 0.0)",113.14618000857584,6577.2518496617095
202207,MACE-1-19,59.0647033333,-173.06413,"LLA(lat=59.06470333°, lon=-173.064130000°, alt=0.0)","UTM(38289.668866043386515, 6575197.2662066277, 0.0)",38.289668866043385,6575.197266206627
202207,MACE-1-20,58.5885883333,-172.964881667,"LLA(lat=58.58858833°, lon=-172.964881667°, alt=0.0)","UTM(37636.723402288102079, 6521738.5488561857, 0.0)",37.636723402288105,6521.738548856186
202207,MACE-1-29,60.2718883333,-174.695956667,"LLA(lat=60.27188833°, lon=-174.695956667°, alt=0.0)","UTM(-35065.153763946611434, 6721147.0914368574, 0.0)",-35.06515376394661,6721.147091436857
202207,MACE-1-12,55.7363933333,-168.730425,"LLA(lat=55.73639333°, lon=-168.730425000°, alt=0.0)","UTM(265820.995075207436457, 6183045.6369949812, 0.0)",265.82099507520746,6183.045636994982
202207,MACE-1-17,57.7782266667,-171.515938333,"LLA(lat=57.77822667°, lon=-171.515938333°, alt=0.0)","UTM(112831.103815478272736, 6422676.2346363161, 0.0)",112.83110381547827,6422.676234636316
202207,MACE-1-9,57.1695516667,-167.688335,"LLA(lat=57.16955167°, lon=-167.688335000°, alt=0.0)","UTM(337457.340522454411257, 6339465.0272390572, 0.0)",337.4573405224544,6339.465027239057
202207,MACE-1-16,56.70224,-171.31907,"LLA(lat=56.70224000°, lon=-171.319070000°, alt=0.0)","UTM(113381.853312897961587, 6302090.2198178601, 0.0)",113.38185331289796,6302.09021981786
202207,MACE-1-72,58.14924,-173.181085,"LLA(lat=58.14924000°, lon=-173.181085000°, alt=0.0)","UTM(19164.832871868798975, 6474562.6781325517, 0.0)",19.1648328718688,6474.562678132552
202207,MACE-1-42,59.91256,-178.581898333,"LLA(lat=59.91256000°, lon=-178.581898333°, alt=0.0)","UTM(-255979.646233488689177, 6719752.2989557572, 0.0)",-255.9796462334887,6719.752298955757
202207,MACE-1-44,59.751285,-177.838075,"LLA(lat=59.75128500°, lon=-177.838075000°, alt=0.0)","UTM(-218437.269101454410702, 6693684.7585633602, 0.0)",-218.4372691014544,6693.68475856336
202207,MACE-1-38,60.19364,-177.360716667,"LLA(lat=60.19364000°, lon=-177.360716667°, alt=0.0)","UTM(-182701.008562797214836, 6737248.9063252294, 0.0)",-182.70100856279723,6737.24890632523
202207,MACE-1-13,56.3187833333,-168.824898333,"LLA(lat=56.31878333°, lon=-168.824898333°, alt=0.0)","UTM(263484.407555678044446, 6248133.5179875232, 0.0)",263.48440755567805,6248.133517987523
202207,MACE-1-15,57.4120816667,-170.20473,"LLA(lat=57.41208167°, lon=-170.204730000°, alt=0.0)","UTM(187507.406659851782024, 6375230.3292235527, 0.0)",187.5074066598518,6375.230329223553
202207,MACE-1-31,61.367825,-176.390025,"LLA(lat=61.36782500°, lon=-176.390025000°, alt=0.0)","UTM(-106716.956288266344927, 6856945.4526241971, 0.0)",-106.71695628826635,6856.945452624197
202207,MACE-1-32,60.5620883333,-176.139951667,"LLA(lat=60.56208833°, lon=-176.139951667°, alt=0.0)","UTM(-108784.800710465293378, 6765796.0769845396, 0.0)",-108.78480071046529,6765.7960769845395
202207,MACE-1-68,60.541165,-177.212945,"LLA(lat=60.54116500°, lon=-177.212945000°, alt=0.0)","UTM(-167407.933661971590482, 6773966.6640255880, 0.0)",-167.40793366197158,6773.966664025588
202207,MACE-1-69,60.2234933333,-176.987793333,"LLA(lat=60.22349333°, lon=-176.987793333°, alt=0.0)","UTM(-161656.443957554642111, 6736710.0665891748, 0.0)",-161.65644395755464,6736.710066589175
202207,MACE-1-14,56.8866866667,-168.89708,"LLA(lat=56.88668667°, lon=-168.897080000°, alt=0.0)","UTM(262615.431954128667712, 6311538.6449049339, 0.0)",262.61543195412867,6311.538644904934
202207,MACE-1-25,57.5153833333,-173.963803333,"LLA(lat=57.51538333°, lon=-173.963803333°, alt=0.0)","UTM(-36049.313112296862528, 6410243.7653700821, 0.0)",-36.049313112296865,6410.243765370082
202207,MACE-1-21,58.5546866667,-172.94195,"LLA(lat=58.55468667°, lon=-172.941950000°, alt=0.0)","UTM(38516.602144929114729, 6517822.2553455504, 0.0)",38.51660214492912,6517.822255345551
202207,MACE-1-37,60.134085,-177.335285,"LLA(lat=60.13408500°, lon=-177.335285000°, alt=0.0)","UTM(-182550.869400515570305, 6730430.5913524097, 0.0)",-182.55086940051558,6730.4305913524095
202207,MACE-1-45,60.0757933333,-177.962906667,"LLA(lat=60.07579333°, lon=-177.962906667°, alt=0.0)","UTM(-218258.292877588071860, 6730724.7370649083, 0.0)",-218.25829287758808,6730.724737064908
202207,MACE-1-41,60.2623683333,-178.688626667,"LLA(lat=60.26236833°, lon=-178.688626667°, alt=0.0)","UTM(-253758.201894235331565, 6759373.3499726206, 0.0)",-253.75820189423533,6759.37334997262
202207,MACE-1-36,59.133655,-176.980295,"LLA(lat=59.13365500°, lon=-176.980295000°, alt=0.0)","UTM(-183234.011855866992846, 6616591.6912437221, 0.0)",-183.23401185586698,6616.591691243722
202207,MACE-1-2,55.4778816667,-163.980983333,"LLA(lat=55.47788167°, lon=-163.980983333°, alt=0.0)","UTM(564406.762329144286923, 6148443.6212909138, 0.0)",564.4067623291443,6148.443621290914
