transect,class,x,y,lon,lat,log,nasc
2,BT,710.0,6220.0,-161.58925986249997,56.0884775125,262.75391425,2.416142375
2,BT,710.0,6230.0,-161.58374768181818,56.16748878181818,267.50311027272727,68.08714409090909
2,BT,710.0,6240.0,-161.57705377272728,56.25899961818182,273.0025103636364,170.32161845454547
2,BT,710.0,6250.0,-161.57059433999999,56.34639842,278.25149559999994,107.26402379999999
2,BT,710.0,6260.0,-161.56372682727272,56.43387799090909,283.50184172727273,113.44259063636363
2,BT,710.0,6270.0,-161.55746727272728,56.525415572727276,289.0018852727273,307.41968736363634
2,BT,710.0,6280.0,-161.55128693636365,56.61695428181818,294.5026027272727,128.7948479090909
2,BT,710.0,6290.0,-161.54412453636363,56.70840269090909,300.00159254545457,7.8667690000000015
2,BT,710.0,6300.0,-161.53782841999998,56.79560892000001,305.2516558,13.355034899999998
2,BT,710.0,6310.0,-161.53209495454547,56.882949445454535,310.50197609090907,16.079356636363634
2,BT,710.0,6320.0,-161.52503478181822,56.97431470000001,316.00238200000007,23.05666027272727
2,BT,710.0,6330.0,-161.5178603090909,57.065746,321.502066,26.648505363636367
2,BT,710.0,6340.0,-161.51336995714286,57.14067627142857,326.00248342857145,85.51101157142857
4,BT,640.0,6340.0,-162.738958875,57.156181874999994,368.75231525,16.764866
4,BT,640.0,6330.0,-162.74164617272726,57.093921527272734,372.5019334545455,20.37177018181818
4,BT,640.0,6320.0,-162.74692020909092,57.00257244545455,378.001844,44.744322272727274
4,BT,640.0,6310.0,-162.75082424545457,56.91141065454545,383.50231363636357,18.11077927272727
4,BT,640.0,6300.0,-162.7557956,56.82426796000001,388.7519117,4.9532164000000005
4,BT,640.0,6290.0,-162.76077021818185,56.73697811818182,394.00195327272723,27.07614345454545
4,BT,640.0,6280.0,-162.76492064545457,56.64542521818182,399.501309,3.930491545454545
4,BT,640.0,6270.0,-162.76999322500004,56.552021483333334,406.71046900000005,32.815962500000005
4,BT,640.0,6260.0,-162.77469272,56.46373640999999,414.25172599999996,122.3152396
4,BT,640.0,6250.0,-162.77906763636364,56.376440099999996,419.5016095454546,147.3881215454545
4,BT,640.0,6240.0,-162.78379556363637,56.284832936363635,425.00184918181816,20.984707272727274
4,BT,640.0,6230.0,-162.78847902727273,56.19309252727272,430.5029074545455,12.21526481818182
4,BT,640.0,6220.0,-162.79309317000002,56.105671199999996,435.75139490000004,3.287032
4,BT,640.0,6210.0,-162.79719994545457,56.018222863636375,441.00224027272725,1.5365466363636364
4,BT,640.0,6200.0,-162.8025038333333,55.924979625,452.5020878333333,6.359598583333334
4,BT,640.0,6190.0,-162.806963475,55.836177291666665,477.6278203333333,128.53531475
4,BT,640.0,6180.0,-162.81171858181818,55.74550908181818,486.00169827272725,260.2958204545455
4,BT,640.0,6170.0,-162.81653903636365,55.65380977272727,491.5019256363636,401.72121454545464
4,BT,640.0,6160.0,-162.82122916999998,55.56633223,496.7531043,24.0380134
4,BT,640.0,6150.0,-162.8240329,55.51211633333333,500.00303633333334,80.56141933333333
6,BT,560.0,6100.0,-163.9875664,55.0806928,552.500505,50.481287
6,BT,560.0,6110.0,-163.98895275454547,55.13063156363637,555.502257,36.07238209090909
6,BT,560.0,6120.0,-163.98818314545454,55.22235156363637,561.0021661818181,52.680164272727275
6,BT,560.0,6130.0,-163.98684457272728,55.31406984545454,566.502807,47.160966727272736
6,BT,560.0,6140.0,-163.98685101,55.4014555,571.7525092999999,271.613281
6,BT,560.0,6150.0,-163.98589968333332,55.491555041666665,588.5019154166667,382.6361891666666
6,BT,560.0,6160.0,-163.98484942,55.58118139999999,609.7533844,130.0985436
6,BT,560.0,6170.0,-163.9840999,55.668671700000004,615.0033759999999,18.456571909090915
6,BT,560.0,6180.0,-163.9832505909091,55.76033139090908,620.5030183636363,10.401778454545454
6,BT,560.0,6190.0,-163.9817867818182,55.8519616090909,626.0029827272728,9.269952545454546
6,BT,560.0,6200.0,-163.98168614545455,55.94189358181818,636.8197586363636,7.880388090909091
6,BT,560.0,6210.0,-163.98060126363637,56.02939457272726,656.5016615454547,12.980361272727276
6,BT,560.0,6220.0,-163.98021340000003,56.12109781818181,662.0018670909092,15.930924272727275
6,BT,560.0,6230.0,-163.97904120909092,56.21278426363636,667.501939909091,7.650600272727272
6,BT,560.0,6240.0,-163.97918052,56.30013025000001,672.7522897,24.0344282
6,BT,560.0,6250.0,-163.97784018181818,56.38761180909091,678.0018407272727,8.750914727272727
6,BT,560.0,6260.0,-163.97861638181823,56.47941866363637,683.5022247272727,11.14922
6,BT,560.0,6270.0,-163.9777302636364,56.57120089090908,689.0019626363636,17.045470272727275
6,BT,560.0,6280.0,-163.9744877,56.66289791818181,694.5018375454545,18.413600818181816
6,BT,560.0,6290.0,-163.97385493000002,56.750254580000004,699.7516225,39.3117232
6,BT,560.0,6300.0,-163.97394825833334,56.83871106666667,706.0849971666667,55.949298416666664
6,BT,560.0,6310.0,-163.9726491166667,56.93017140833334,714.7513583333333,80.30553316666668
6,BT,560.0,6320.0,-163.97095506,57.01947152000001,721.2519166,43.5433149
6,BT,560.0,6330.0,-163.97180919090908,57.10693975454546,726.501947909091,23.165014727272727
6,BT,560.0,6340.0,-163.97167324999998,57.1610989,729.7529609999999,17.151649499999998
8,BT,490.0,6350.0,-165.20681125000002,57.29497780833333,774.2511708333335,188.3075193333333
8,BT,490.0,6340.0,-165.20219307272728,57.20016221818182,780.0016377272727,54.0538620909091
8,BT,490.0,6330.0,-165.20175060000003,57.11291152,785.2518315,59.0977994
