column1,survey,event_id,eqlatitude,eqlongitude,lla,utm,x,y,edsu_idx
1,202304,1,58.219445,-153.339561667,"LLA(lat=58.219445°, lon=-153.339561667°, alt=0.0)","UTM(1.1828879996151219e6, 6.512531271288246e6, 0.0)",1182.8879996151218,6512.531271288246,2307
2,202304,2,58.0652233333,-154.197095,"LLA(lat=58.0652233333°, lon=-154.197095°, alt=0.0)","UTM(1.1357100481635858e6, 6.487068139386475e6, 0.0)",1135.7100481635857,6487.068139386475,2078
3,202304,3,57.7891883333,-154.201801667,"LLA(lat=57.7891883333°, lon=-154.201801667°, alt=0.0)","UTM(1.140362258666702e6, 6.456534214765837e6, 0.0)",1140.362258666702,6456.5342147658375,336
4,202304,4,57.9462933333,-154.613088333,"LLA(lat=57.9462933333°, lon=-154.613088333°, alt=0.0)","UTM(1.113396958308294e6, 6.470057738737204e6, 0.0)",1113.396958308294,6470.057738737204,321
5,202304,5,57.7737116667,-154.953726667,"LLA(lat=57.7737116667°, lon=-154.953726667°, alt=0.0)","UTM(1.0962368978838082e6, 6.44791563501059e6, 0.0)",1096.2368978838083,6447.9156350105895,417
6,202304,6,57.726655,-155.21828,"LLA(lat=57.726655°, lon=-155.21828°, alt=0.0)","UTM(1.0813629169961018e6, 6.440398771316016e6, 0.0)",1081.3629169961018,6440.398771316016,479
7,202304,7,57.4865116667,-155.482586667,"LLA(lat=57.4865116667°, lon=-155.482586667°, alt=0.0)","UTM(1.0694805510998461e6, 6.411574721878313e6, 0.0)",1069.4805510998463,6411.5747218783135,585
8,202304,8,57.3574383333,-155.584028333,"LLA(lat=57.3574383333°, lon=-155.584028333°, alt=0.0)","UTM(1.0654307709248972e6, 6.396438375013879e6, 0.0)",1065.4307709248972,6396.438375013879,668
9,202304,9,57.2348416667,-155.52571,"LLA(lat=57.2348416667°, lon=-155.52571°, alt=0.0)","UTM(1.0708246893760783e6, 6.383358256596477e6, 0.0)",1070.8246893760784,6383.358256596477,723
10,202304,10,57.0092066667,-155.920408333,"LLA(lat=57.0092066667°, lon=-155.920408333°, alt=0.0)","UTM(1.0504834239976616e6, 6.355117680461351e6, 0.0)",1050.4834239976615,6355.117680461351,883
11,202304,11,56.8894516667,-155.845301667,"LLA(lat=56.8894516667°, lon=-155.845301667°, alt=0.0)","UTM(1.0568122765642605e6, 6.342467881890609e6, 0.0)",1056.8122765642604,6342.467881890609,974
12,202304,12,56.6612283333,-156.027583333,"LLA(lat=56.6612283333°, lon=-156.027583333°, alt=0.0)","UTM(1.0491017541093493e6, 6.315713731909793e6, 0.0)",1049.1017541093493,6315.713731909793,1129
13,202304,13,56.519885,-156.044456667,"LLA(lat=56.519885°, lon=-156.044456667°, alt=0.0)","UTM(1.0501320714965097e6, 6.29992211330197e6, 0.0)",1050.1320714965098,6299.92211330197,1217
14,202304,14,56.425275,-156.18145,"LLA(lat=56.425275°, lon=-156.18145°, alt=0.0)","UTM(1.0430989076422771e6, 6.28834665516053e6, 0.0)",1043.098907642277,6288.34665516053,1973
15,202304,15,55.8845966667,-156.231096667,"LLA(lat=55.8845966667°, lon=-156.231096667°, alt=0.0)","UTM(1.0477257653493278e6, 6.228047337337641e6, 0.0)",1047.7257653493277,6228.047337337641,1469
16,202304,16,55.4851483333,-156.20293,"LLA(lat=55.4851483333°, lon=-156.20293°, alt=0.0)","UTM(1.055137525632414e6, 6.184010120462554e6, 0.0)",1055.137525632414,6184.0101204625535,1731
17,202304,17,55.8880266667,-154.858246667,"LLA(lat=55.8880266667°, lon=-154.858246667°, alt=0.0)","UTM(1.1331046213359288e6, 6.240207269763629e6, 0.0)",1133.1046213359289,6240.207269763629,1879
18,202304,18,56.0045383333,-154.544893333,"LLA(lat=56.0045383333°, lon=-154.544893333°, alt=0.0)","UTM(1.1506144988662195e6, 6.256023079053961e6, 0.0)",1150.6144988662195,6256.023079053961,1822
19,202304,19,55.922095,-153.88915,"LLA(lat=55.922095°, lon=-153.88915°, alt=0.0)","UTM(1.192712295819513e6, 6.253326672041713e6, 0.0)",1192.712295819513,6253.326672041713,1816
20,202304,20,56.1002183333,-153.715485,"LLA(lat=56.1002183333°, lon=-153.715485°, alt=0.0)","UTM(1.2002306582969998e6, 6.274770417131766e6, 0.0)",1200.2306582969998,6274.7704171317655,1346
21,202304,21,56.2494066667,-152.848335,"LLA(lat=56.2494066667°, lon=-152.848335°, alt=0.0)","UTM(1.250791371925029e6, 6.300441123930126e6, 0.0)",1250.791371925029,6300.441123930126,1215
22,202304,22,56.358435,-152.503045,"LLA(lat=56.358435°, lon=-152.503045°, alt=0.0)","UTM(1.2697760244945572e6, 6.316313702217024e6, 0.0)",1269.776024494557,6316.313702217024,1132
