backend,survey,class,domain_n,obs_n,mapped_dloc_n,mapped_collision_n,params_data_n,params_dloc_n,params_sloc_n,dloc_head,sloc_head,data_mean,data_sd,mu,prep_shift_n,prep_shift_mean,prep_shift_sd,prep_shift_min,prep_shift_max,prep_shift_nonpos_n,scaled_shift_n,scaled_shift_mean,scaled_shift_sd,scaled_shift_min,scaled_shift_max,scaled_shift_nonpos_n,mu_z_n,mu_z_mean,mu_z_sd,mu_z_min,mu_z_max,mu_z_nonpos_n,L_diag_n,L_diag_mean,L_diag_sd,L_diag_min,L_diag_max,L_diag_nonpos_n,implied_var_n,implied_var_mean,implied_var_sd,implied_var_min,implied_var_max,implied_var_nonpos_n
julia,202207,SS1,3673,560,548,12,548,548,3125,1 6 9 11 13 16 27 31,2 3 4 5 7 8 10 12,428.02469679103547,659.2898539211412,0.0,3125,278.18712248659403,349.72985431594196,-68.7691013427868,4132.350646682922,35,3125,428.0246967910355,537.7475064811955,9.313395461231326e-6,6355.627981285845,0,3125,0.30801339393242533,0.7441416674302224,6.0554544523933395e-6,13.168938941366912,0,3125,456.1147638879976,57.81371508742194,401.7648203415704,675.1676557099163,0,3125,348802.9613149093,73632.2461058269,209392.26671005963,462019.1306985271,0
julia,202207,SS2,3673,560,548,12,548,548,3125,1 6 9 11 13 16 27 31,2 3 4 5 7 8 10 12,7.038128090787436,62.264114658503345,0.0,3125,1.177768683506359,9.66545426822854,-0.449204150034678,228.71843567733214,1302,3125,7.038128090787447,57.714927565682636,3.6159127775870367e-5,1365.753669748953,0,3125,0.0947465796636421,0.955356904765007,6.0554544523933395e-6,24.097287291236018,0,3125,51.41942777019821,1.4166260115218594,49.64034732234977,54.315120317220284,0,3125,2880.730348163291,85.94907134686177,2657.8233171686466,2950.1558025491645,0
julia,202207,BT,3673,560,548,12,548,548,3125,1 6 9 11 13 16 27 31,2 3 4 5 7 8 10 12,63.190832322816156,109.19732506553224,0.0,3125,30.730927581101657,43.23753132219397,0.22242379429549372,469.6756072499007,0,3125,63.190832322816156,88.90768378607221,0.4573615506020219,965.7760074283243,0,3125,0.29837600699248273,0.7307132520673777,6.0554544523933395e-6,9.755554709681453,0,3125,84.98479374488755,7.9107447981282375,76.84821261305986,108.77897454928667,0,3125,10241.5469725309,1412.6034230970845,7300.752813167023,11865.747527247619,0
