backend,survey,class,zdist,obs_mean_nasc,obs_sd_nasc,field_det_mean,field_det_sd,field_sim_mean_mean,field_sim_mean_sd,field_sim_sd_mean,field_sim_sd_sd,det_total_n,det_total_biomass,sim_total_n_mean,sim_total_n_sd,sim_total_biomass_mean,sim_total_biomass_sd,variogram_gamma_0,variogram_gamma_20,variogram_gamma_40,variogram_gamma_60,variogram_gamma_80,variogram_gamma_100,variogram_gamma_120,variogram_gamma_140,variogram_gamma_160,variogram_gamma_180,variogram_gamma_200
julia,202207,SS1,Distributions.InverseGaussian,420.32566842749367,654.4285496146572,439.0121294642677,563.7257224115433,445.5945362953206,25.405530263893404,709.3687136406922,66.39154085805448,1.1987604056054482e10,4.0768955618043537e9,1.2043331632954659e10,4.932084159905924e8,4.135126578764207e9,1.7714137718278682e8,0.0,284033.55471013987,398002.65519169497,443733.0122188083,462082.4204793895,469445.16167368746,472399.47808129987,473584.9041618807,474060.5590338167,474251.4166173495,474327.99865054456
julia,202207,SS2,Distributions.Gamma,7.304299584036797,61.908462549412235,7.185468908636774,58.55590039702244,6.369401460306873,3.133407331535543,117.70977079914579,126.22744620588244,1.660001257510409e8,8.17019371531534e7,1.5016854276591808e8,7.404625325621082e7,7.407762347650479e7,3.645113317371222e7,0.0,2796.6425152411093,2942.1833878794955,2949.7575220396193,2950.151689720736,2950.1722027137134,2950.1732702362456,2950.1733257914907,2950.173328682657,2950.173328833117,2950.1733288409473
julia,202207,BT,Distributions.InverseGaussian,62.43205121382472,108.2526688394783,64.7567096346289,93.22743109432304,65.25777242585627,4.0165664765836215,132.90301297922468,50.3055871381723,3.0012076269632e9,1.605259286459517e9,3.124250625896346e9,2.822190804967935e8,1.6721563826203024e9,9.980926186158928e7,0.0,8942.149770457629,11170.561578908702,11725.88880060766,11864.27808843603,11898.765133618244,11907.359413595137,11909.501135158436,11910.034858898767,11910.167864531184,11910.201009952529
