backend,survey,class,zdist,obs_mean_nasc,obs_sd_nasc,field_det_mean,field_det_sd,field_sim_mean_mean,field_sim_mean_sd,field_sim_sd_mean,field_sim_sd_sd,det_total_n,det_total_biomass,sim_total_n_mean,sim_total_n_sd,sim_total_biomass_mean,sim_total_biomass_sd,variogram_gamma_0,variogram_gamma_20,variogram_gamma_40,variogram_gamma_60,variogram_gamma_80,variogram_gamma_100,variogram_gamma_120,variogram_gamma_140,variogram_gamma_160,variogram_gamma_180,variogram_gamma_200
r,202207,SS1,inverse_gaussian,420.32566842749367,654.4285496146572,425.4471962824565,422.4129055110733,415.91719575612143,23.577010676410417,607.8131480961476,37.63551043128306,11668867466.387173,4021193138.3916707,11766674707.725914,996028322.6893963,4083930974.309891,268281473.69839275,0.004725531269570752,282181.63392042316,397256.9064621726,444184.26191740844,463320.696554109,471124.15158907784,474306.17873459484,475603.69243189454,476132.7601032935,476348.4857501056,476436.44544084085
r,202207,SS2,gamma,7.304299584036819,61.90846254941249,7.304299584036829,3.415852154461934e-6,7.78252874365953,1.0506148883390463,56.29416058135436,8.659878801704464,170557861.4814583,83559746.81031607,169414558.89980027,17682670.22976809,83007043.55981308,8601417.977054093,2932.1668368119967,2932.167216037329,2932.1672335737035,2932.167234384412,2932.1672344218814,2932.167234423613,2932.1672344236927,2932.1672344236963,2932.1672344236968,2932.1672344236968,2932.1672344236968
r,202207,BT,inverse_gaussian,62.432051213824714,108.25266883947835,62.64716082282494,55.02037315494714,61.297005005453514,4.370704639127491,104.5850896620377,21.788001927578016,2962704073.3236637,1541868091.261491,2977460169.724655,383106260.4865458,1561887988.1409044,122507611.7072164,2.360523109534068e-4,8757.577304893803,11097.689569800868,11722.961842424807,11890.025380537945,11934.660271035582,11946.584981143274,11949.770660061504,11950.621675111535,11950.84900356361,11950.909726380056
