transect,interval,lat,lon,class,nasc,x,y
3,1038,57.1960797,-163.3720505,PK1,26.23899,598.368317205147,6340.387684763787
3,1039,57.1876376,-163.3720731,PK1,6.446479,598.3893961728369,6339.448044480842
3,1042,57.162584,-163.3746896,PK1,1.471173,598.2977649014329,6336.655804669011
3,1043,57.1541961,-163.3758351,PK1,13.079026,598.2507336915769,6335.720582470418
3,1044,57.1458725,-163.3768618,PK1,20.722476,598.2106860166989,6334.792689805703
3,1045,57.1374339,-163.3770887,PK1,1.035513,598.2193117267549,6333.853150941445
3,1046,57.1290642,-163.3775978,PK1,0.063235,598.2106657218346,6332.920875357231
3,1047,57.1206973,-163.3780286,PK1,24.861445,598.2067366435301,6331.989025325993
3,1048,57.1123871,-163.3784519,PK1,7.057054,598.2030978227655,6331.0634979016895
3,1049,57.1039396,-163.378843,PK1,25.901993,598.2017588739567,6330.122736616285
3,1050,57.0955825,-163.3792407,PK1,115.788093,598.1997681204249,6329.192028405586
3,1051,57.0872228,-163.3796356,PK1,24.822622,598.1979409463811,6328.261035987797
3,1052,57.0788242,-163.3800767,PK1,12.806041,598.1934035088004,6327.325648722146
3,1053,57.0704186,-163.3805506,PK1,14.444309,598.1868818954787,6326.389436348889
3,1054,57.0620337,-163.381026,PK1,0.059802,598.1801995417634,6325.455526876896
3,1055,57.0537053,-163.3815202,PK1,13.398237,598.1722127201278,6324.527879894881
3,1056,57.0453037,-163.3820634,PK1,5.513833,598.1614309274636,6323.592016617497
3,1057,57.0369004,-163.382523,PK1,0.014779,598.1557092658871,6322.656085533759
3,1058,57.0284966,-163.3828198,PK1,7.707986,598.1598547804832,6321.720333994898
3,1059,57.0201144,-163.3832045,PK1,1.572279,598.1585971080226,6320.786861268966
3,1060,57.0117054,-163.3835518,PK1,177.465991,598.1596682864015,6319.850460667102
3,1061,57.0033242,-163.3838856,PK1,85.638374,598.1614744798035,6318.917174676604
3,1062,56.9949442,-163.3840832,PK1,13.557019,598.1715399145171,6317.984219105221
3,1063,56.9865502,-163.3842786,PK1,32.376637,598.1817683545614,6317.049709654853
3,1064,56.9782489,-163.3844799,PK1,1.547964,598.1913867738999,6316.12551007949
3,1065,56.9698139,-163.3846722,PK1,0.004795,598.2018965579563,6315.186444147045
3,1066,56.9613905,-163.3848231,PK1,3.136406,598.2148855473247,6314.248729891581
3,1067,56.953049,-163.3850196,PK1,1.282254,598.2248796777709,6313.3200664224105
